Date,Symbol,Column1,Std deviation,Annual std dev,Roc
2026-09-17 15:29,TINNARUBR,1832.9232,3.4723,49.4776,20.4852
2026-09-17 15:29,SPAL,1831.0628,3.6352,50.1219,29.4657
2026-09-17 15:29,SCPL,1819.8995,3.8939,56.0956,139.6148
2026-09-17 15:29,MODISONLTD,1817.7911,4.676,57.2824,178.95
2026-09-17 15:29,GVPIL,1815.2484,3.484,60.0206,76.5005
2026-09-17 15:29,IDEAFORGE,1812.4576,3.8641,56.2131,34.1085
2026-09-17 15:29,SUDARSCHEM,1803.4653,2.748,40.3383,-18.2447
2026-09-17 15:29,ACE,1774.6267,2.2106,34.4054,4.8348
2026-09-17 15:29,TIINDIA,1768.735,2.0001,34.681,-21.9509
2026-09-17 15:29,SHILCTECH,1757.5716,3.08,1.7e+308,1.7e+308
2026-09-17 15:29,RATEGAIN,1753.231,2.6489,43.8132,35.3958
2026-09-17 15:29,MEDANTA,1744.5488,1.8134,29.5447,5.1543
2026-09-17 15:29,WSTCSTPAPR,1743.9284,2.3381,36.1938,48.2719
2026-09-17 15:29,BHAGYANGR,1743.4943,3.9434,63.4011,381.0904
2026-09-17 15:29,SETL,1726.3775,3.7286,51.6157,106.6986
2026-09-17 15:29,ORCHPHARMA,1720.9819,3.0196,43.7543,21.5106
2026-09-17 15:29,ABSLAMC,1718.5011,2.3708,37.209,32.1493
2026-09-17 15:29,KAJARIACER,1716.3303,1.5613,28.8699,1.0124
2026-09-17 15:29,NITINSPIN,1715.4002,2.5788,38.6749,75.1668
2026-09-17 15:29,WELENT,1711.6793,2.3243,37.753,39.3522
2026-09-17 15:29,ANTHEM,1702.3767,1.6886,29.6417,9.6088
2026-09-17 15:29,VARROC,1691.2137,2.2911,36.3691,33.673
2026-09-17 15:29,XPROINDIA,1689.9733,3.6023,51.3895,9.5445
2026-09-17 15:29,SOLARA,1679.7404,3.3603,46.2214,9.8571
2026-09-17 15:29,BIRLACABLE,1659.7088,3.6427,54.4874,132.8136
2026-09-17 15:29,HATSUN,1651.8324,2.0963,36.124,31.3181
2026-09-17 15:29,PVRINOX,1651.522,1.9786,30.7984,14.0514
2026-09-17 15:29,SONACOMS,1639.7393,1.7975,31.4458,78.3356
2026-09-17 15:29,WINDLAS,1634.4676,2.442,35.6005,15.9757
2026-09-17 15:29,PIXTRANS,1634.1576,2.6679,32.272,21.101
2026-09-17 15:29,COSMOFIRST,1628.8863,2.3277,40.1148,-3.8413
2026-09-17 15:29,RAMRAT,1620.2035,3.1676,42.7898,66.0018
2026-09-17 15:29,POLICYBZR,1613.0716,2.0095,33.8188,-2.4646
2026-09-17 15:29,TMB,1603.7693,2.598,38.2728,104.6253
2026-09-17 15:29,MSTCLTD,1594.4666,3.7976,48.7754,37.2445
2026-09-17 15:29,JGCHEM,1590.4355,3.2019,46.8914,26.6609
2026-09-17 15:29,PAUSHAKLTD,1584.5437,3.1836,1.7e+308,1.7e+308
2026-09-17 15:29,PNBHOUSING,1576.7916,1.6496,32.3196,26.9193
2026-09-17 15:29,PITTIENG,1574.6207,2.363,40.0273,12.3795
2026-09-17 15:29,MANGLMCEM,1561.5969,1.9758,31.5627,37.4859
2026-09-17 15:29,DIACABS,1560.729,3.477,47.7448,132.1726
2026-09-17 15:29,RUBYMILLS,1546.217,3.9898,53.6013,94.3595
2026-09-17 15:29,PKTEA,1542.992,4.0744,55.3623,12.9675
2026-09-17 15:29,GCSL,1537.1003,2.563,1.7e+308,128.0261
2026-09-17 15:29,SGFIN,1531.8292,2.4243,42.1995,62.0018
2026-09-17 15:29,COFORGE,1531.829,2.7201,39.1406,-0.1281
2026-09-17 15:29,ZYDUSLIFE,1531.5186,1.7,23.4234,9.4283
2026-09-17 15:29,DOLPHIN,1530.2785,3.0865,54.8668,67.192
2026-09-17 15:29,INDSWFTLAB,1525.9373,3.9798,56.8449,263.3526
2026-09-17 15:29,ENDURANCE,1521.9071,1.838,31.0785,-6.5532
2026-09-17 15:29,PGHL,1516.3246,1.8477,24.4751,-14.6391
2026-09-17 15:29,AMBIKCO,1515.7046,2.2671,34.4562,3.2241
2026-09-17 15:29,MANKIND,1487.1768,1.5753,25.3237,-13.5533
2026-09-17 15:29,TATACOMM,1481.5951,2.0191,33.7776,6.3643
2026-09-17 15:29,63MOONS,1478.8042,3.025,52.3589,-6.0454
2026-09-17 15:29,BBOX,1467.6411,3.1771,46.4307,56.7601
2026-09-17 15:29,POWERMECH,1451.2064,2.1183,38.831,-21.3358
2026-09-17 15:29,MONQ50,1442.1519,4.162,45.6851,269.0769
2026-09-17 15:29,APCOTEXIND,1440.3535,3.4446,43.225,43.26
2026-09-17 15:29,SUPRIYA,1435.082,3.8264,47.1542,24.0223
2026-09-17 15:29,QUADFUTURE,1435.0818,4.1027,61.7836,20.5502
2026-09-17 15:29,ASIANENE,1430.7407,3.4967,50.8827,39.7528
2026-09-17 15:29,BALRAMCHIN,1430.4307,3.0086,40.5188,32.5552
2026-09-17 15:29,RANEHOLDIN,1425.1594,2.8707,41.5098,8.6954
2026-09-17 15:29,NIBE,1423.2986,3.4754,52.087,-5.6172
2026-09-17 15:29,POLYPLEX,1421.1281,2.3391,33.3215,1.8016
2026-09-17 15:29,PGIL,1399.7317,2.8635,50.8269,65.3073
2026-09-17 15:29,OAL,1392.2899,3.4857,48.1608,46.4214
2026-09-17 15:29,GRINDWELL,1388.5682,2.794,35.8714,14.9081
2026-09-17 15:29,SHANTIGEAR,1387.6384,3.3754,41.4623,22.0131
2026-09-17 15:29,HALEOSLABS,1382.9873,3.0669,41.7295,26.0447
2026-09-17 15:29,INDOBORAX,1381.1268,4.2242,50.5956,92.1968
2026-09-17 15:29,LENSKART,1380.8168,1.4812,1.7e+308,1.7e+308
2026-09-17 15:29,GALAPREC,1357.8703,3.307,44.462,16.9741
2026-09-17 15:29,SHYAMMETL,1343.296,1.8298,28.735,18.5862
2026-09-17 15:29,SVLL,1329.9621,3.2818,44.2891,3.7725
2026-09-17 15:29,SOFTTECH,1319.7297,2.2735,43.4263,34.326
2026-09-17 15:29,KSL,1318.1791,2.3439,36.5945,17.4005
2026-09-17 15:29,APOLLOPIPE,1317.5589,2.9748,48.748,30.2254
2026-09-17 15:29,SPLPETRO,1306.396,2.1026,40.4784,-4.0713
2026-09-17 15:29,MOTILALOFS,1295.543,2.1822,39.974,4.6576
2026-09-17 15:29,MMP,1290.5815,3.1115,43.8414,68.8849
2026-09-17 15:29,OBEROIRLTY,1290.5813,1.7503,27.6117,4.2211
2026-09-17 15:29,CGPOWER,1272.2864,2.2477,34.7657,12.9074
2026-09-17 15:29,NEPHROPLUS,1269.8056,2.5965,1.7e+308,1.7e+308
2026-09-17 15:29,PRECWIRE,1264.6581,3.8055,60.3212,146.3534
2026-09-17 15:29,UTLSOLAR,1260.317,3.1502,1.7e+308,1.7e+308
2026-09-17 15:29,OPTIEMUS,1249.3399,2.9162,49.2602,-6.3052
