Date,Abv 10ma,Abv 20ma,Abv 50ma,Abv 200ma
2025-08-11,23.4503,20.3268,27.679,36.0884
2025-08-08,17.3179,17.3661,25.7598,35.5041
2025-08-07,20.2605,20.5017,29.8119,38.9773
2025-08-06,19.1992,21.1288,30.2943,39.7009
2025-08-05,26.3031,26.3996,34.1216,42.2297
2025-08-04,26.1079,26.3969,36.5607,43.4489
2025-08-01,19.2456,21.9052,33.8491,41.3926
2025-07-31,25.7282,28.0583,40.6311,46.165
2025-07-30,30.9524,32.2643,44.7522,47.7648
2025-07-29,25.9601,29.1201,43.6072,47.6422
2025-07-28,18.0106,23.0806,38.001,44.5196
2025-07-25,22.4599,30.1896,46.2324,49.2465
2025-07-24,38.7944,44.6281,59.1638,55.5664
2025-07-23,42.6556,48.8327,61.1868,56.0798
2025-07-22,42.5584,48.7354,62.3541,56.2743
2025-07-21,46.3509,52.6341,65.3456,56.6457
2025-07-18,49.4158,55.9883,68.4031,58.1305
2025-07-17,59.8832,63.1938,72.6388,59.3963
2025-07-16,60.0877,62.5244,72.7096,58.7719
2025-07-15,55.7289,58.8493,69.5271,57.0941
2025-07-14,40.9884,47.9651,62.7422,53.3915
2025-07-11,40.2635,48.7067,65.2025,53.3919
2025-07-10,51.4174,57.3803,69.9902,55.4741
2025-07-09,51.148,57.4988,70.0049,54.8608
2025-07-08,48.0957,56.3477,69.7266,54.6875
2025-07-07,51.8213,59.2521,71.0053,54.9296
2025-07-04,59.5412,64.5193,73.8409,55.9297
2025-07-03,57.6867,63.0551,72.1327,55.1
2025-07-02,57.0591,62.0909,71.6659,53.8349
2025-07-01,65.0367,67.9707,73.4963,54.4743
2025-06-30,69.9805,69.9318,73.7817,54.9708
2025-06-27,66.6176,66.7647,71.7157,54.0196
2025-06-26,64.9828,63.3644,70.4267,52.4277
2025-06-25,67.7451,63.1373,70.1471,52.0588
2025-06-24,45.7353,47.1569,61.7647,47.3039
2025-06-23,29.5322,36.7934,53.6062,44.7856
2025-06-20,26.8496,36.6977,55.708,44.096
2025-06-19,18.2933,28.7886,50.3188,42.1285
2025-06-18,30.8939,43.8114,62.721,48.1827
2025-06-17,34.7741,47.8389,65.5697,49.558
2025-06-16,42.5989,57.6453,70.8842,51.9785
2025-06-13,41.6216,59.2138,72.1376,50.86
2025-06-12,51.1057,68.4521,76.3145,53.6609
2025-06-11,74.4848,79.1462,81.2071,57.4092
2025-06-10,74.8035,78.6837,80.1572,56.2868
2025-06-09,74.094,77.9628,79.0891,54.7992
2025-06-06,62.7085,70.5594,74.0922,50.8342
2025-06-05,58.6359,68.4004,70.4122,48.528
2025-06-04,55.3974,65.5545,69.9706,46.9578
2025-06-03,53.0682,64.6048,69.8576,46.2445
2025-06-02,58.0598,67.7609,70.9946,46.1538
2025-05-30,57.643,68.9349,71.9428,46.499
2025-05-29,63.9053,72.5345,72.8304,47.7318
2025-05-28,66.4857,74.5311,73.7414,46.9398
2025-05-27,69.5953,76.7522,75.4195,47.0879
2025-05-26,72.5442,78.6837,76.6699,45.8743
2025-05-23,73.9625,79.8419,76.4822,45.3063
2025-05-22,72.1975,78.6667,74.2716,43.3086
2025-05-21,78.7654,82.0741,75.8025,43.5556
2025-05-20,78.1621,82.5593,75.3953,41.9466
2025-05-19,89.1945,88.7525,80.7957,44.9902
2025-05-16,89.6296,88.3457,78.716,42.4198
2025-05-15,88.834,85.4249,73.3202,39.2292
2025-05-14,88.4387,83.251,67.9842,35.8202
2025-05-13,83.5062,76.2469,57.284,31.5556
2025-05-12,79.2138,68.4029,50.4177,28.9926
2025-05-09,18.0741,22.0247,25.4321,20.2963
2025-05-08,20.5926,25.679,27.5062,20.8889
2025-05-07,26.4924,31.6724,32.5111,22.7923
2025-05-06,17.6616,26.443,27.8737,20.7203
2025-05-05,40.1474,47.5676,40.344,25.7002
2025-05-02,24.4203,34.3858,34.2871,23.7296
2025-04-30,24.7036,37.6482,34.9308,23.9625
2025-04-29,42.9348,56.4723,45.751,26.6304
2025-04-28,45.1327,59.3904,47.5418,27.2861
2025-04-25,41.9179,60.3559,45.8725,26.8908
2025-04-24,84.9383,86.4198,66.9136,32.642
2025-04-23,88.154,87.7098,65.5479,33.1688
2025-04-22,91.2679,88.7519,65.3182,32.3631
2025-04-21,90.8465,87.4508,59.8917,30.7087
2025-04-17,87.3829,80.828,50.5175,27.3534
2025-04-16,87.6172,80.0691,47.262,26.2457
2025-04-15,85.5807,73.4252,39.8622,24.5571
2025-04-11,54.0701,45.6339,26.443,19.7336
2025-04-09,27.6186,26.2846,17.6877,15.6126
2025-04-08,31.9012,29.679,19.6543,16.6914
2025-04-07,12.6295,15.3922,12.8268,13.4188
2025-04-04,41.1358,40.6914,25.5309,19.7037
2025-04-03,79.5062,68.3951,38.2716,24.1481
2025-04-02,68.5432,57.2346,31.4074,21.5802
2025-04-01,54.0394,47.0443,26.9951,19.3103
2025-03-28,36.3771,37.0681,25.0247,19.2004
2025-03-27,43.4289,41.6996,25.4941,19.9605
2025-03-26,38.6667,40.2963,23.0617,18.4691
2025-03-25,58.3004,52.2233,28.1621,20.2075
2025-03-24,82.8487,69.4431,34.894,22.6713
2025-03-21,82.2453,65.1335,29.2285,20.277
2025-03-20,74.2829,51.4837,22.9476,17.458
2025-03-19,70.9199,46.9337,20.0297,15.8754
2025-03-18,44.384,29.4409,13.3597,13.4587
2025-03-17,23.0997,18.3613,9.8223,11.4511
2025-03-13,21.7434,16.6419,9.5097,11.2927
2025-03-12,26.3731,17.8624,9.5497,11.6279
2025-03-11,30.6931,19.703,9.703,12.4257
2025-03-10,36.0672,22.1838,10.2767,12.8458
2025-03-07,69.0747,36.9124,13.0628,15.0421
2025-03-06,59.3472,27.547,11.4738,13.5509
2025-03-05,35.7072,17.2601,7.7646,11.6716
2025-03-04,12.568,7.62,5.6408,9.0549
2025-03-03,7.2628,5.2866,4.1008,8.5968
2025-02-28,6.6998,5.2605,4.7643,9.4789
