date,time,group,% 3 quarter ago,% 2 quarter ago,% 1 quarter ago,% current quarter,change in % in 3 qtrs,change in % in 1 qtr
2026-09-04,15:29,CHOLAFIN,17.268,17.5531,19.9115,20.6172,3.3492,0.7057
2026-09-04,15:29,CHOLAHLDNG,22.98,24.0131,26.5572,27.3532,4.3732,0.796
2026-09-04,15:29,CIPLA,30.161,30.6374,31.8791,34.5337,4.3727,2.6546
2026-09-04,15:29,CMLL,1.7e+308,1.7e+308,1.7e+308,5.0933,1.7e+308,1.7e+308
2026-09-04,15:29,CMRGREEN,1.7e+308,1.7e+308,1.7e+308,4.3239,1.7e+308,1.7e+308
2026-09-04,15:29,CMSINFO,28.6953,32.6133,35.1685,35.9961,7.3008,0.8276
2026-09-04,15:29,CNL,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CNXENERGY,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CNXINFRA,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CNXIT,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CNXMIDCAP,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CNXMNC,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CNXNIFTYJUNIOR,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CNXPHARMA,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CNXPSE,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CNXREALTY,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CNXSMALLCAP,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,COCKERILL,1.7e+308,1.7e+308,0,0.1142,1.7e+308,0.1142
2026-09-04,15:29,COLPAL,12.2357,13.7907,15.5334,15.8259,3.5902,0.2925
2026-09-04,15:29,COMMOIETF,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,COMPEAU,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CONS,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CONSUMAXIS,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,CONSUMBEES,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
