date,time,group,% 3 qtr ago,% 2 qtr ago,% 1 qtr ago,% current qtr,change in 3 qtrs
2026-09-04,15:29,BANARBEADS,58.1411,58.1411,58.4822,58.4822,0.3411
2026-09-04,15:29,BANARISUG,58.6958,58.6958,58.6958,58.6958,0
2026-09-04,15:29,BANCOINDIA,67.8844,67.8844,67.8844,67.8843,-0.0001
2026-09-04,15:29,BANG,67.8681,67.8674,67.8675,67.8857,0.0176
2026-09-04,15:29,BANKBARODA,63.9712,63.9712,63.9712,63.9712,0
2026-09-04,15:29,BANKINDIA,73.3825,73.3825,73.3825,73.3825,0
2026-09-04,15:29,BASF,73.3343,73.3343,73.3343,73.3343,0
2026-09-04,15:29,BASML,49.5516,49.5516,49.5516,49.5516,0
2026-09-04,15:29,BATAINDIA,50.157,50.157,50.157,50.157,0
2026-09-04,15:29,BAYERCROP,71.4319,71.4319,71.4319,71.4319,0
2026-09-04,15:29,BBTC,74.0456,74.0457,74.0457,74.0457,0.0001
2026-09-04,15:29,BBTCL,73.7634,73.7634,73.7634,73.7634,0
2026-09-04,15:29,BCG,18.3795,18.3795,18.3795,18.3795,0
2026-09-04,15:29,BCLIND,58.0326,58.0326,58.2327,58.2327,0.2001
2026-09-04,15:29,BDL,74.9261,74.9261,74.9261,74.9261,0
2026-09-04,15:29,BECTORFOOD,49.0368,49.0368,49.0361,49.0394,0.0026
2026-09-04,15:29,BEDMUTHA,57.0458,57.0458,57.0461,57.087,0.0412
2026-09-04,15:29,BEL,51.1359,51.1359,51.1359,51.1359,0
2026-09-04,15:29,BEPL,57.4724,57.4724,57.4724,57.4724,0
2026-09-04,15:29,BESTAGRO,50.4416,50.4416,50.4416,50.4416,0
2026-09-04,15:29,BFINVEST,74.1292,74.1292,74.1292,74.1292,0
2026-09-04,15:29,BFUTILITIE,56.7245,56.7245,56.7245,56.7245,0
2026-09-04,15:29,BGLOBAL,48.4602,48.4602,48.4602,48.4602,0
2026-09-04,15:29,BGRENERGY,51.0061,51.0061,51.0061,51.0061,0
2026-09-04,15:29,BHAGERIA,71.7452,71.7452,71.7681,71.7681,0.0229
2026-09-04,15:29,BHANDARI,31.0151,31.0151,41.8325,41.8325,10.8174
2026-09-04,15:29,BHARATGEAR,55.3199,55.3265,55.3265,55.3265,0.0066
2026-09-04,15:29,BHARATRAS,74.9906,74.9906,74.9906,74.9906,0
2026-09-04,15:29,BHARATWIRE,41.2703,41.2703,41.2703,41.2703,0
2026-09-04,15:29,BHARTIHEXA,70,70,70,70,0
2026-09-04,15:29,BIGBLOC,72.8145,72.8145,72.8145,72.8145,0
2026-09-04,15:29,BILVYAPAR,51.2785,51.2785,51.2785,51.2785,0
2026-09-04,15:29,BIOFILCHEM,46.7915,46.7915,46.7915,46.7915,0
2026-09-04,15:29,BIRLACABLE,66.3525,66.3525,66.3525,66.3525,0
2026-09-04,15:29,BIRLACORPN,62.8972,62.8972,62.8972,62.8972,0
2026-09-04,15:29,BIRLAMONEY,73.5278,73.5278,73.5278,73.5278,0
2026-09-04,15:29,BIRLANU,40.5683,40.5683,40.5683,40.5683,0
2026-09-04,15:29,BLAL,54.0287,54.0287,54.0287,54.0287,0
2026-09-04,15:29,BLBLIMITED,40.9975,40.9975,45.7683,45.7683,4.7708
2026-09-04,15:29,BLKASHYAP,61.7046,61.7091,61.7243,61.7279,0.0233
2026-09-04,15:29,BLS,70.3891,70.3888,70.3913,70.3913,0.0022
2026-09-04,15:29,BLSE,68.8905,68.8905,69.8095,71.8723,2.9818
2026-09-04,15:29,BLUECHIP,11.2473,11.2473,11.2473,11.2473,0
2026-09-04,15:29,BLUECOAST,71.3714,71.4127,74.9256,74.9256,3.5542
2026-09-04,15:29,BLUEDART,75,75,75,75,0
2026-09-04,15:29,BLUESTARCO,36.4881,36.4881,36.4881,36.4998,0.0117
2026-09-04,15:29,BMWVENTLTD,73.015,73.015,73.015,73.015,0
2026-09-04,15:29,BOHRAIND,22.3332,12.6174,9.8132,38.0129,15.6797
2026-09-04,15:29,BORANA,65.2378,65.2378,65.2378,65.2378,0
2026-09-04,15:29,BOROLTD,64.6188,64.6163,64.6878,64.6848,0.066
2026-09-04,15:29,BOROSCI,67.8059,67.8059,68.08,68.273,0.4671
2026-09-04,15:29,BOSCH-HCIL,74.2548,82.223,82.223,74.5276,0.2728
2026-09-04,15:29,BOSCHLTD,70.5414,70.5414,70.5414,70.5439,0.0025
2026-09-04,15:29,BPCL,52.976,52.976,52.976,52.976,0
2026-09-04,15:29,BPL,63.1267,63.1267,63.1267,63.1267,0
2026-09-04,15:29,BRITANNIA,50.5475,50.5475,50.5475,50.5475,0
2026-09-04,15:29,BSE,0,0,0,0,0
2026-09-04,15:29,BSL,56.7161,56.7161,56.7161,56.7161,0
2026-09-04,15:29,BURNPUR,1.9752,1.9752,1.9752,1.9752,0
2026-09-04,15:29,BUTTERFLY,75,75,75,75,0
2026-09-04,15:29,BYKE,42.2505,42.2505,42.2505,42.2505,0
2026-09-04,15:29,CALSOFT,62.2636,62.2636,62.2636,62.2636,0
2026-09-04,15:29,CAMS,0,0,0,0,0
2026-09-04,15:29,CANBK,62.9343,62.9343,62.9343,62.9343,0
2026-09-04,15:29,CANFINHOME,29.9881,29.9881,29.9881,29.988,-0.0001
2026-09-04,15:29,CANTABIL,74.0898,74.2094,74.4605,74.4605,0.3707
2026-09-04,15:29,CAPACITE,31.6905,31.6905,31.6905,31.6905,0
2026-09-04,15:29,CAPLIPOINT,70.5712,70.5712,70.5712,70.5712,0
2026-09-04,15:29,CAPTRUST,54.1274,54.1274,54.1274,54.1274,0
2026-09-04,15:29,CARERATING,0,0,0,0,0
2026-09-04,15:29,CARTRADE,0,0,0,0,0
2026-09-04,15:29,CARYSIL,41.335,41.335,41.335,41.335,0
2026-09-04,15:29,CASTROLIND,51,51,51,51,0
2026-09-04,15:29,CCAVENUE,27.2719,27.2853,27.2853,27.2853,0.0134
2026-09-04,15:29,CCCL,60.0546,60.0546,60.0546,60.0546,0
2026-09-04,15:29,CCL,46.0933,46.1101,46.1101,46.1401,0.0468
2026-09-04,15:29,CDSL,15,15,15,15,0
2026-09-04,15:29,CEATLTD,47.2073,47.2073,47.2907,47.2907,0.0834
2026-09-04,15:29,CEMPRO,67.4629,67.4629,67.4629,67.4629,0
2026-09-04,15:29,CENTRUM,34.8435,34.8435,39.4424,39.4424,4.5989
2026-09-04,15:29,CERA,54.4116,54.4116,54.4116,54.4116,0
2026-09-04,15:29,CESC,52.1112,52.1112,52.1112,52.1112,0
2026-09-04,15:29,CEWATER,51.3875,51.3875,51.431,51.431,0.0435
2026-09-04,15:29,CHAMBLFERT,60.5809,60.8541,61.2541,61.3448,0.7639
2026-09-04,15:29,CHEMBOND,67.6508,67.7217,68.0758,68.1074,0.4566
2026-09-04,15:29,CHEMBONDCH,67.7406,67.9416,67.9787,67.9973,0.2567
2026-09-04,15:29,CHEMCON,74.4669,74.4669,74.4669,74.4669,0
2026-09-04,15:29,CHEMPLASTS,54.9904,54.9904,54.9904,54.9904,0
2026-09-04,15:29,CHENNPETRO,67.2871,67.2871,67.2871,67.2871,0
2026-09-04,15:29,CHEVIOT,74.8811,74.8811,74.8811,74.8811,0
2026-09-04,15:29,CHOLAHLDNG,46.4192,46.3753,46.3753,46.4346,0.0154
2026-09-04,15:29,CINELINE,69.6,69.6,69.6,69.6,0
2026-09-04,15:29,CINEVISTA,67.4313,67.4313,67.4893,67.4893,0.058
2026-09-04,15:29,CLEAN,50.9654,50.9641,51.293,51.2905,0.3251
2026-09-04,15:29,CMSINFO,0,0,0,0,0
2026-09-04,15:29,COASTCORP,42.2271,42.2215,42.2922,42.3025,0.0754
2026-09-04,15:29,COCHINSHIP,67.915,67.915,67.915,67.915,0
2026-09-04,15:29,COFORGE,0,0,0,0,0
2026-09-04,15:29,COMPINFO,42.6476,42.6476,42.6476,42.6476,0
2026-09-04,15:29,COMPUSOFT,70.8882,70.9559,71.0573,71.5994,0.7112
2026-09-04,15:29,COMSYN,58.7856,58.7856,59.181,59.181,0.3954
2026-09-04,15:29,CONCOR,54.7986,54.7986,54.7986,54.7986,0
2026-09-04,15:29,CONCORDBIO,44.0817,44.0817,44.0817,44.0817,0
2026-09-04,15:29,CONFIPET,55.8856,55.8856,55.8856,57.3811,1.4955
2026-09-04,15:29,CONTROLPR,52.9846,52.9846,52.9846,52.9846,0
2026-09-04,15:29,CORALFINAC,74.9551,74.9551,74.9551,74.9551,0
2026-09-04,15:29,CORDSCABLE,51.9244,52.3481,52.4463,52.4463,0.5219
2026-09-04,15:29,COUNCODOS,53.8649,53.8649,53.8649,53.8649,0
2026-09-04,15:29,CPCAP,63.7515,63.7735,63.804,63.804,0.0525
2026-09-04,15:29,CPEDU,63.7012,63.7012,63.7012,63.7012,0
2026-09-04,15:29,CREATIVEYE,56.2589,56.2589,56.2589,56.2589,0
2026-09-04,15:29,CREST,69.7488,69.7488,69.7488,69.8367,0.0879
2026-09-04,15:29,CRISIL,66.6383,66.6383,66.6383,66.6383,0
2026-09-04,15:29,CRIZAC,79.9397,79.94,79.94,79.94,0.0003
2026-09-04,15:29,CROMPTON,0,0,0,0,0
2026-09-04,15:29,CSLFINANCE,47.5611,47.5611,47.661,48.1658,0.6047
2026-09-04,15:29,CTE,50.9128,50.9128,55.752,57.133,6.2202
2026-09-04,15:29,CUBEXTUB,44.4187,44.4187,44.4187,44.4187,0
2026-09-04,15:29,CUPID,45.5532,45.5532,46.0331,46.2437,0.6905
2026-09-04,15:29,CYBERMEDIA,66.574,66.574,66.574,67.1262,0.5522
2026-09-04,15:29,CYBERTECH,36.4268,36.5199,36.9688,38.0396,1.6128
2026-09-04,15:29,DABUR,66.2199,66.2266,66.2464,66.2421,0.0222
2026-09-04,15:29,DALMIASUG,74.9131,74.9131,74.9131,74.9131,0
2026-09-04,15:29,DANGEE,55.6775,55.6775,55.6775,55.6775,0
