MECHANICAL FLAT DUMP of the NSE shareholding-pattern XBRL filing (source: https://nsearchives.nseindia.com/corporate/xbrl/SHP_1694365_16072026051452_WEB.xml).
Filing: Avience Biomedicals Ltd, SHP as on 24-Jun-2026 (listing date), submitted 02-Jul-2026, revised 16-Jul-2026 (remark: combine Resident HUF entries into one Any Other entry, 36,600 shares). Every line is one XBRL fact: element | context | value. Fractions are shares of total (0.6459 = 64.59%). No figure is computed or edited.
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesWarrantsAndESOP | OtherFinancialInstitutions_ContextI | 0.0003
NumberOfTheLockedInShares | OtherFinancialInstitutions_ContextI | 0
LockedInSharesAsAPercentageOfTotalNumberOfShares | OtherFinancialInstitutions_ContextI | 0
NumberOfEquitySharesHeldInDematerializedForm | OtherFinancialInstitutions_ContextI | 1800
NumberOfSharesUnderSubCategoryOne | OtherFinancialInstitutions_ContextI | 0
NumberOfSharesUnderSubCategoryTwo | OtherFinancialInstitutions_ContextI | 0
NumberOfSharesUnderSubCategoryThree | OtherFinancialInstitutions_ContextI | 0
NumberOfShareholders | InstitutionsDomestic_ContextI | 48
NumberOfFullyPaidUpEquityShares | InstitutionsDomestic_ContextI | 498200
NumberOfShares | InstitutionsDomestic_ContextI | 498200
ShareholdingAsAPercentageOfTotalNumberOfShares | InstitutionsDomestic_ContextI | 0.0908
NumberOfVotingRightsHeldBySameClassOfSecurities | InstitutionsDomestic_ContextI | 498200
NumberOfVotingRights | InstitutionsDomestic_ContextI | 498200
PercentageOfTotalVotingRights | InstitutionsDomestic_ContextI | 0.0908
NumberOfSharesOnFullyDilutedBasisIncludingWarrantsESOPAndConvertibleSecurities | InstitutionsDomestic_ContextI | 498200
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesWarrantsAndESOP | InstitutionsDomestic_ContextI | 0.0908
NumberOfTheLockedInShares | InstitutionsDomestic_ContextI | 309200
LockedInSharesAsAPercentageOfTotalNumberOfShares | InstitutionsDomestic_ContextI | 0.6206
NumberOfEquitySharesHeldInDematerializedForm | InstitutionsDomestic_ContextI | 498200
NumberOfSharesUnderSubCategoryOne | InstitutionsDomestic_ContextI | 0
NumberOfSharesUnderSubCategoryTwo | InstitutionsDomestic_ContextI | 0
NumberOfSharesUnderSubCategoryThree | InstitutionsDomestic_ContextI | 0
NumberOfShareholders | InstitutionsForeignPortfolioInvestorCategoryOne_ContextI | 20
NumberOfFullyPaidUpEquityShares | InstitutionsForeignPortfolioInvestorCategoryOne_ContextI | 168000
NumberOfShares | InstitutionsForeignPortfolioInvestorCategoryOne_ContextI | 168000
ShareholdingAsAPercentageOfTotalNumberOfShares | InstitutionsForeignPortfolioInvestorCategoryOne_ContextI | 0.0306
