date,index,index_changes__change,index_changes__ltp,indices_age_away_from__from_30w_ema,quarterly_percentage_change_indices__change,weekly_percentage_change_indices__change
2026-09-11,CNXSMALLCAP,-0.5776,19906.3008,6.4925,5.5304,-0.9413
2026-09-11,INDIAVIX,4.1525,12.29,-10.9898,-9.6324,15.0749
2026-09-11,NIFTY,-0.3395,23398.0996,-3.243,-1.9595,-2.0906
2026-09-11,NIFTY100,-0.3916,24546.5508,-2.404,-1.4812,-1.9046
2026-09-11,NIFTY200,-0.3644,13657.9004,-1.6454,-1.0541,-1.8018
2026-09-11,NIFTY500,-0.374,22866.5,-0.8135,-0.5616,-1.667
2026-09-11,NIFTYAUTO,-0.8585,27304.5,0.1396,3.1144,-1.4666
2026-09-11,NIFTYCHEMICALS,-1.018,29782,1.5404,0.5622,-1.0624
2026-09-11,NIFTYCOMMODITIES,-1.3399,9579.7998,-2.0503,-2.1766,-2.2853
2026-09-11,NIFTYCONSUMPTION,-0.4703,11460.5996,-1.7432,-0.4716,-1.1821
2026-09-11,NIFTYFINSERVICE,0.0984,25545.4004,-2.6499,-3.8003,-1.9408
2026-09-11,NIFTYFMCG,-0.2918,45053.75,-8.4862,-7.6658,-1.8282
2026-09-11,NIFTYHEALTHCARE,-0.1607,16492.0996,4.6554,2.1831,0.5122
2026-09-11,NIFTYHOUSING,1.7e+308,11061.2002,0,1.7e+308,1.7e+308
2026-09-11,NIFTYINDDEFENCE,-0.7335,9723.8496,6.8178,2.1477,0.1545
2026-09-11,NIFTYLARGEMID250,-0.3179,16381.6504,-0.4345,-0.5748,-1.6407
2026-09-11,NIFTYMEDIA,0.1564,1537.2,2.0053,3.9773,-1.8046
2026-09-11,NIFTYMETAL,-2.2991,12999.0498,3.7541,3.8333,-2.3909
2026-09-11,NIFTYMICROCAP250,0.1025,26650.6992,9.2481,5.9925,0.6971
2026-09-11,NIFTYMIDCAP150,-0.2462,22847.8496,1.4337,0.3232,-1.3834
2026-09-11,NIFTYMIDCAP50,0.0059,17929.75,2.361,1.9031,-1.0922
2026-09-11,NIFTYMIDSELECT,0.3882,14584.7002,2.237,1.0976,-0.8764
2026-09-11,NIFTYMIDSMALLCAP400,-0.3369,21226.9492,2.7833,1.4052,-1.1698
2026-09-11,NIFTYOILANDGAS,-0.8423,10937,-2.9675,-0.8454,-2.2404
2026-09-11,NIFTYPSUBANK,-0.6183,8349.9004,-1.3301,-1.6809,-1.9372
2026-09-11,NIFTYPVTBANK,0.4765,27436,0.0807,-1.7657,-1.3963
2026-09-11,NIFTYSMALLCAP250,-0.5072,18339.9004,5.4154,3.4966,-0.7656
2026-09-11,NIFTYSMALLCAP50,-0.5762,9948.2002,7.7195,6.5968,-0.7116
2026-09-11,NIFTYTOTALMKT,-0.3515,12943.2002,-0.3269,-0.272,-1.5584
2026-09-15,BANKNIFTY,-1.4341,55794.75,-1.8167,-3.038,-1.4341
2026-09-15,CNXENERGY,-2.0752,37147.9492,-2.6655,-6.5237,-2.0752
2026-09-15,CNXINFRA,-1.8332,8910.75,-3.8813,-5.1261,-1.8332
2026-09-15,CNXIT,2.1915,29555.3008,-3.2239,12.3816,2.1915
2026-09-15,CNXPHARMA,-1.2965,26188.4004,5.0343,3.4036,-1.2965
2026-09-15,CNXREALTY,-4.0365,814.25,-4.1137,-1.8444,-4.0365
2026-09-15,CNXSMALLCAP,-2.4306,19422.4492,3.643,2.9653,-2.4306
2026-09-15,INDIAVIX,9.2758,13.43,-2.5615,-1.25,9.2758
2026-09-15,NIFTY,-1.1945,23118.5996,-4.1267,-3.1306,-1.1945
2026-09-15,NIFTY100,-1.4403,24193,-3.5727,-2.9002,-1.4403
2026-09-15,NIFTY200,-1.5789,13442.25,-2.9982,-2.6164,-1.5789
2026-09-15,NIFTY500,-1.7014,22477.4492,-2.3435,-2.2535,-1.7014
2026-09-15,NIFTYAUTO,-2.0066,26756.5996,-1.7513,1.0453,-2.0066
2026-09-15,NIFTYCHEMICALS,-3.4244,28762.1504,-1.814,-2.8814,-3.4244
2026-09-15,NIFTYCOMMODITIES,-1.7981,9407.5498,-3.5744,-3.9355,-1.7981
2026-09-15,NIFTYCONSUMPTION,-1.5514,11282.7998,-3.0632,-2.0157,-1.5514
2026-09-15,NIFTYFINSERVICE,-1.835,25076.6504,-4.162,-5.5655,-1.835
2026-09-15,NIFTYFMCG,-0.4967,44829.9492,-8.4125,-8.1244,-0.4967
2026-09-15,NIFTYHEALTHCARE,-1.1709,16299,3.2016,0.9867,-1.1709
2026-09-15,NIFTYHOUSING,1.7e+308,11061.2002,0,1.7e+308,1.7e+308
2026-09-15,NIFTYINDDEFENCE,-5.9616,9144.1504,0.4206,-3.9419,-5.9616
2026-09-15,NIFTYLARGEMID250,-1.7959,16087.4502,-2.0822,-2.3603,-1.7959
2026-09-15,NIFTYMEDIA,-2.1663,1503.9,-0.1912,1.7248,-2.1663
2026-09-15,NIFTYMETAL,-2.5379,12669.1504,1.0478,1.1982,-2.5379
2026-09-15,NIFTYMICROCAP250,-3.2659,25780.3008,5.2943,2.5308,-3.2659
2026-09-15,NIFTYMIDCAP150,-2.1405,22358.8008,-0.6902,-1.8242,-2.1405
2026-09-15,NIFTYMIDCAP50,-2.0826,17556.3496,0.2145,-0.2191,-2.0826
2026-09-15,NIFTYMIDSELECT,-2.1828,14266.3496,0.0051,-1.1091,-2.1828
2026-09-15,NIFTYMIDSMALLCAP400,-2.2436,20750.6992,0.4463,-0.8699,-2.2436
2026-09-15,NIFTYOILANDGAS,-1.2855,10796.4004,-3.9537,-2.1201,-1.2855
2026-09-15,NIFTYPSUBANK,-2.2922,8158.5,-3.3679,-3.9346,-2.2922
2026-09-15,NIFTYPVTBANK,-1.3347,27069.8008,-1.1751,-3.0769,-1.3347
2026-09-15,NIFTYSMALLCAP250,-2.4379,17892.8008,2.657,0.9735,-2.4379
2026-09-15,NIFTYSMALLCAP50,-2.3572,9713.7002,4.83,4.0841,-2.3572
2026-09-15,NIFTYTOTALMKT,-1.7747,12713.5,-1.9632,-2.0418,-1.7747
2026-09-16,BANKNIFTY,0.892,56292.4492,-0.9968,-2.1731,-0.5549
2026-09-16,CNXENERGY,0.0954,37183.3984,-2.5784,-6.4345,-1.9818
2026-09-16,CNXINFRA,-0.023,8908.7002,-3.902,-5.1479,-1.8558
2026-09-16,CNXIT,-1.5823,29087.6504,-4.6609,10.6034,0.5745
2026-09-16,CNXPHARMA,-0.1611,26146.1992,4.8765,3.2369,-1.4556
