date,marketcap,52_wk_high__pct,percentage_trading_above_40w__percentage
2024-12-30,midcap,,63.7076
2024-12-30,smallcap,,56.7551
2025-01-06,largecap,,38.4393
2025-01-06,midcap,,44.7917
2025-01-06,smallcap,,36.8519
2025-01-13,largecap,,37.2832
2025-01-13,midcap,,41.2987
2025-01-13,smallcap,,35.5556
2025-01-20,largecap,,29.7688
2025-01-20,midcap,,30.3896
2025-01-20,smallcap,,29.484
2025-01-27,largecap,,33.526
2025-01-27,midcap,,29.9742
2025-01-27,smallcap,,29.6683
2025-02-03,largecap,,33.7176
2025-02-03,midcap,,37.2093
2025-02-03,smallcap,,30.4856
2025-02-10,largecap,,18.1556
2025-02-10,midcap,,13.1443
2025-02-10,smallcap,,16.9315
2025-02-17,largecap,,21.6138
2025-02-17,midcap,,19.5373
2025-02-17,smallcap,,16.6158
2025-02-24,largecap,,14.121
2025-02-24,midcap,,8.4615
2025-02-24,smallcap,,12.8049
2025-03-03,largecap,,19.3084
2025-03-03,midcap,,18.1586
2025-03-03,smallcap,,15.7317
2025-03-10,largecap,,17.0029
2025-03-10,midcap,,13.0435
2025-03-10,smallcap,,13.1467
2025-03-17,largecap,,33.1412
2025-03-17,midcap,,27.3657
2025-03-17,smallcap,,19.7209
2025-03-24,largecap,,36.3112
2025-03-24,midcap,,26.087
2025-03-24,smallcap,,20.0242
2025-04-01,largecap,,33.1412
2025-04-01,midcap,,22.7041
2025-04-01,smallcap,,19.6138
2025-04-07,largecap,,33.7176
2025-04-07,midcap,,23.4694
2025-04-07,smallcap,,18.6103
2025-04-15,largecap,,45.245
2025-04-15,midcap,,35.6234
2025-04-15,smallcap,,29.3976
2025-04-21,largecap,,45.8213
2025-04-21,midcap,,36.1323
2025-04-21,smallcap,,29.5181
2025-04-28,largecap,,46.1095
2025-04-28,midcap,,29.0076
2025-04-28,smallcap,,27.0433
2025-05-05,largecap,,40.0576
2025-05-05,midcap,,27.7354
2025-05-05,smallcap,,22.7491
2025-05-12,largecap,,67.8161
2025-05-12,midcap,,59.1837
2025-05-12,smallcap,,43.8512
2025-05-19,largecap,,67.5287
2025-05-19,midcap,,63.8677
2025-05-19,smallcap,,45.5362
2025-05-26,largecap,,70.1149
2025-05-26,midcap,,65.6489
2025-05-26,smallcap,,46.4393
2025-06-02,largecap,,75.4286
2025-06-02,midcap,,67.0051
2025-06-02,smallcap,,51.1656
2025-06-09,largecap,,70.2857
2025-06-09,midcap,,65.9898
2025-06-09,smallcap,,53.043
2025-06-16,largecap,,65.7143
2025-06-16,midcap,,55.5838
2025-06-16,smallcap,,47.1182
2025-06-23,largecap,,72.6496
2025-06-23,midcap,,70.6329
2025-06-23,smallcap,,55.1867
2025-06-30,largecap,,72.6496
2025-06-30,midcap,,71.8987
2025-06-30,smallcap,,58.3284
2025-07-07,largecap,,69.6023
2025-07-07,midcap,,69.2695
2025-07-07,smallcap,,55.549
2025-07-14,largecap,,73.0114
2025-07-14,midcap,,73.8693
2025-07-14,smallcap,,58.4118
2025-07-21,largecap,,66.8555
2025-07-21,midcap,,62.9073
2025-07-21,smallcap,,51.1737
2025-07-28,largecap,,56.0907
2025-07-28,midcap,,52.1303
2025-07-28,smallcap,,44.4705
2025-08-04,largecap,,52.4079
2025-08-04,midcap,,45.25
2025-08-04,smallcap,,37.748
2025-08-11,largecap,,54.8023
2025-08-11,midcap,,45.5224
2025-08-11,smallcap,,39.604
2025-08-18,largecap,,63.5593
2025-08-18,midcap,,51.861
2025-08-18,smallcap,,44.2832
2025-08-25,largecap,,50
2025-08-25,midcap,,41.5842
2025-08-25,smallcap,,37.949
2025-09-01,largecap,,56.7797
2025-09-01,midcap,,52.9557
2025-09-01,smallcap,,42.7499
2025-09-08,largecap,,66.6667
2025-09-08,midcap,,58.1281
2025-09-08,smallcap,,46.1671
2025-09-15,largecap,,73.1638
2025-09-15,midcap,,63.8821
2025-09-15,smallcap,,51.4664
2025-09-22,largecap,,55.493
2025-09-22,midcap,,44.4717
2025-09-22,smallcap,,40.6071
2025-09-29,largecap,,64.7887
2025-09-29,midcap,,51.5892
2025-09-29,smallcap,,44.5838
2025-10-06,largecap,,68.169
2025-10-06,midcap,,50.8516
2025-10-06,smallcap,,44.9489
2025-10-13,largecap,,66.0112
2025-10-13,midcap,,48.5437
2025-10-13,smallcap,,41.7514
2025-10-20,largecap,,66.4804
2025-10-20,midcap,,50.3632
2025-10-20,smallcap,,44.5383
2025-10-27,largecap,,66.4804
2025-10-27,midcap,,52.0581
2025-10-27,smallcap,,44.8256
2025-11-03,largecap,,62.0112
2025-11-03,midcap,,43.5835
2025-11-03,smallcap,,41.0242
2025-11-10,largecap,,64.9025
2025-11-10,midcap,,43.7198
2025-11-10,smallcap,,41.3117
2025-11-17,largecap,,60.221
2025-11-17,midcap,,39.6135
2025-11-17,smallcap,,36.9687
2025-11-24,largecap,,62.4658
2025-11-24,midcap,,40.4819
2025-11-24,smallcap,,36.7803
2025-12-01,largecap,,58.0822
2025-12-01,midcap,,35.0962
2025-12-01,smallcap,,33.5183
