date,time,abv 10ma,abv 20ma,abv 50ma,abv 200ma
2026-06-12,00:00,53.0022,46.7819,49.2873,41.8575
2026-06-15,00:00,73.3247,63.1014,58.9347,44.8024
2026-06-16,00:00,72.9741,65.7759,61.8966,45.6897
2026-06-17,00:00,71.9154,66.9543,63.8481,46.8939
2026-06-18,00:00,73.135,69.7283,65.6749,47.7361
2026-06-19,00:00,69.9008,68.0034,65.8473,48.7279
2026-06-22,00:00,73.3705,71.741,68.7393,51.8439
2026-06-23,00:00,59.1282,63.3146,63.4441,49.5037
2026-06-24,00:00,59.905,62.5378,63.3146,50.7553
2026-06-25,00:00,46.0112,54.3769,60.0259,48.8141
2026-06-29,00:00,38.9365,46.1835,54.6312,47.2127
2026-06-30,00:00,46.1406,51.574,55.9293,48.0379
2026-07-01,00:00,50.1935,54.5376,58.0645,48.9462
2026-07-02,00:00,59.6303,61.049,62.4248,51.0748
2026-07-03,00:00,59.1924,60.3093,63.5309,52.0619
2026-07-06,00:00,53.994,57.2832,61.683,51.4737
2026-07-07,00:00,45.9192,50.945,58.0326,50
2026-07-08,00:00,24.0979,33.4192,45.4467,45.3179
2026-07-09,00:00,40.0257,44.0154,52.1665,47.7048
2026-07-10,00:00,53.4335,53.8627,58.6695,50.0429
2026-07-13,00:00,56.1486,55.5935,59.351,51.281
2026-07-14,00:00,42.4099,47.5129,54.1166,49.9571
2026-07-15,00:00,45.6727,50.0857,55.6984,50.4284
2026-07-16,00:00,44.2875,47.3256,54.6427,50.0642
2026-07-17,00:00,36.0051,42.3918,51.4359,48.6927
2026-07-20,00:00,41.1211,45.1006,53.2734,49.1656
2026-07-21,00:00,43.3833,46.5953,53.0193,49.7216
2026-07-22,00:00,32.5621,38.3033,48.2005,47.0437
2026-07-23,00:00,28.0995,33.0759,44.4873,45.9888
2026-07-24,00:00,30.2226,33.1764,45.2483,46.6182
2026-07-27,00:00,42.9364,43.1925,49.5519,47.4178
2026-07-28,00:00,35.5308,36.1301,45.2911,46.1045
2026-07-29,00:00,43.4503,41.9521,49.0582,48.1592
2026-07-30,00:00,36.3131,37.3824,45.2951,47.1771
2026-07-31,00:00,45,42.5641,48.0342,48.1624
2026-08-03,00:00,63.1646,56.5291,55.4232,51.4249
2026-08-04,00:00,60.6823,55.2665,54.6695,51.6844
2026-08-05,00:00,62.3083,58.5605,58.1772,52.1721
2026-08-06,00:00,58.7809,57.6726,57.289,52.046
2026-08-07,00:00,55.3663,55.2385,55.707,52.4276
2026-08-10,00:00,51.5293,52.5489,55.8624,52.0391
2026-08-11,00:00,48.3624,49.8086,53.4241,51.5525
2026-08-12,00:00,43.7447,46.6383,51.4468,50.0851
2026-08-13,00:00,44.8173,47.1113,51.4019,50.2549
2026-08-14,00:00,41.2665,44.6239,49.3838,49.5538
2026-08-17,00:00,40.4228,42.5793,47.4419,48.7949
2026-08-18,00:00,39.2555,42.132,47.5888,49.1963
2026-08-19,00:00,36.6751,39.9323,45.8968,48.1387
2026-08-20,00:00,42.6091,43.5409,48.7505,49.1317
2026-08-21,00:00,45.7433,45.5316,49.5553,49.7247
2026-08-24,00:00,44.1586,45.213,48.798,50.232
2026-08-25,00:00,44.3177,44.7402,48.7114,50.2746
2026-08-26,00:00,47.8279,47.7436,50.9068,51.2442
2026-08-27,00:00,41.9518,44.2755,47.8243,50.3169
2026-08-28,00:00,46.3487,46.7286,49.8523,51.0342
2026-08-31,00:00,41.3822,43.8264,47.8719,49.4311
2026-09-01,00:00,36.0421,39.4105,44.8,48.8
2026-09-02,00:00,33.8812,37.0417,43.6157,47.619
2026-09-03,00:00,43.0556,42.8451,46.4646,48.5269
2026-09-04,00:00,46.361,44.5099,48.2962,49.2638
2026-09-07,00:00,42.8272,43.2466,47.0638,49.245
2026-09-08,00:00,43.4929,43.7448,46.1377,49.1604
2026-09-09,00:00,39.916,40.7143,45.8403,48.3193
2026-09-10,00:00,37.1897,39.2512,44.0892,47.8334
2026-09-11,00:00,33.6276,36.7802,42.5389,47.3308
2026-09-15,00:00,18.8521,23.1672,32.677,41.8517
2026-09-16,00:00,18.9155,23.0769,31.7781,41.7823
2026-09-17,00:00,27.904,28.2407,34.7643,42.8451
2026-09-18,00:00,42.2026,37.6629,39.7646,45.0609
2026-09-21,00:00,44.3049,38.6935,40.4941,45.0586
