date,time,breakouts,breakdowns,up close %,down close %,new 52-wk high,new 52-wk low,net nh-nl,15% 52wh,15% 52wl,net 15% h-l,30% 52wh,30% 52 wl,net 30% h-l
2025-06-26,00:00,12.1257,4.811,38.0567,31.6327,2.16,0.3436,1.8164,17.2803,9.7202,7.5601,45.1645,36.2788,8.8856
2025-06-27,00:00,15.6035,4.9558,44.3396,25.7426,2.3553,0.4416,1.9136,18.0569,9.6663,8.3906,45.8292,35.6232,10.2061
2025-06-30,00:00,18.1951,5.4146,49.3298,29.7297,2.4878,0.5366,1.9512,19.1707,8.878,10.2927,46.878,34.3902,12.4878
2025-07-01,00:00,13.7543,4.8948,43.7722,41,2.6921,0.2937,2.3984,18.9917,9.5937,9.3979,47.2345,34.557,12.6774
2025-07-02,00:00,10.5083,6.0606,45.5814,35.4839,1.7107,0.2933,1.4174,18.8172,9.8729,8.9443,47.1652,34.4086,12.7566
2025-07-03,00:00,12.2559,4.248,42.6295,35.6322,1.8066,0.293,1.5137,19.0918,9.2773,9.8145,47.8027,35.0586,12.7441
2025-07-04,00:00,12.8418,4.6387,41.0646,28.4211,1.5137,0.293,1.2207,19.5313,8.8867,10.6445,47.9492,33.7402,14.209
2025-07-07,00:00,12.0078,7.7783,42.915,38.75,1.507,0.4375,1.0695,19.3,9.0909,10.209,47.4477,33.7385,13.7093
2025-07-08,00:00,11.3881,6.696,37.3391,29.927,1.3685,0.4888,0.8798,19.1593,9.2864,9.8729,47.3607,34.0176,13.3431
2025-07-09,00:00,12.2249,3.9609,42.8,25.9259,1.2714,0.2445,1.0269,19.4132,9.2421,10.1711,47.5795,34.0831,13.4963
2025-07-10,00:00,11.1546,3.5714,46.4912,26.0274,1.3209,0.2446,1.0763,19.9119,9.0509,10.8611,47.9941,33.2681,14.726
2025-07-11,00:00,8.4514,6.595,34.6821,28.1481,1.2213,0.342,0.8793,18.9546,9.8192,9.1353,47.191,34.5872,12.6038
2025-07-14,00:00,11.3967,6.8865,44.6809,31.6901,1.7944,0.485,1.3094,19.3501,9.7963,9.5538,47.0902,34.6266,12.4636
2025-07-15,00:00,16.447,2.7818,43.3234,42.1053,2.4402,0.2928,2.1474,20.7906,9.0776,11.713,48.7067,33.5286,15.1781
2025-07-16,00:00,14.1463,4,45.1724,31.7073,2,0.0976,1.9024,20.878,8.5366,12.3415,49.5122,32.0976,17.4146
2025-07-17,00:00,12.2807,4.191,36.5079,29.0698,1.9493,0.0487,1.9006,20.7602,8.2359,12.5244,50.2924,31.9688,18.3236
2025-07-18,00:00,8.7719,4.7758,41.1111,33.6735,1.9493,0.0487,1.9006,20.3216,8.4795,11.8421,49.4639,33.0409,16.423
2025-07-21,00:00,11.224,7.6439,37.069,41.1392,2.2254,0.1935,2.0319,20.8999,8.9018,11.9981,48.9598,33.5752,15.3846
2025-07-22,00:00,11.0516,5.7449,36.1233,44.0678,1.8987,0.1947,1.704,20.4479,9.6884,10.7595,48.8315,33.6904,15.1412
2025-07-23,00:00,9.6397,7.0107,35.8586,34.0278,1.6553,0.3895,1.2658,20.4479,9.3476,11.1003,49.6105,34.0798,15.5307
2025-07-24,00:00,9.3917,7.7859,37.8238,38.125,2.0925,0.438,1.6545,19.562,10.3163,9.2457,48.4672,35.1338,13.3333
2025-07-25,00:00,6.3747,19.0268,30.5344,41.1765,1.2165,0.6813,0.5353,18.0535,12.6034,5.4501,46.8127,38.8321,7.9805
2025-07-28,00:00,9.2315,22.4263,25.1309,45.9052,1.74,1.1116,0.6283,16.5781,15.5147,1.0633,44.3209,43.1609,1.16
2025-07-29,00:00,18.2482,6.8613,48.2667,23.4043,1.6545,1.2652,0.3893,17.8102,14.6959,3.1144,45.7908,41.0706,4.7202
2025-07-30,00:00,15.0292,6.5661,42.0712,34.8148,2.5778,0.6809,1.8969,18.1907,14.3482,3.8424,45.963,41.3424,4.6206
2025-07-31,00:00,10.8844,16.7153,36.1607,23.8372,1.9436,1.1176,0.826,17.7357,15.6948,2.0408,44.7522,42.8086,1.9436
2025-08-01,00:00,11.2778,18.1994,24.0343,48.1383,1.9845,0.9197,1.0649,15.8761,17.667,-1.7909,43.272,45.9826,-2.7106
2025-08-04,00:00,17.2613,9.5468,41.6201,34.3434,1.3983,1.2536,0.1446,16.5863,17.3578,-0.7715,43.973,45.082,-1.109
2025-08-05,00:00,10.9179,8.6473,32.7434,36.3128,1.4493,0.9662,0.4831,16.1836,18.0193,-1.8357,43.913,45.7005,-1.7874
2025-08-06,00:00,9.3675,17.2863,28.3505,39.1061,0.9174,2.028,-1.1106,15.0652,20.7629,-5.6977,42.2501,47.8513,-5.6012
2025-08-07,00:00,11.154,17.4312,34.632,24.9307,1.014,2.9937,-1.9797,14.9686,21.2458,-6.2772,41.5258,48.6721,-7.1463
2025-08-08,00:00,13.2786,13.858,26.9091,39.3728,0.9657,1.9797,-1.014,13.9063,22.8875,-8.9812,40.0773,51.0381,-10.9609
2025-08-11,00:00,16.0173,12.987,40.5405,37.4074,1.1063,2.405,-1.2987,14.0933,23.088,-8.9947,40.5483,50.6975,-10.1491
2025-08-12,00:00,17.4312,8.788,31.3019,45.0549,0.9174,1.4003,-0.4829,14.0512,22.9358,-8.8846,40.3187,50.7001,-10.3815
2025-08-13,00:00,18.0676,9.4686,40.107,39.2857,1.401,1.8357,-0.4348,14.6377,22.9952,-8.3575,41.1111,50.0966,-8.9855
2025-08-14,00:00,12.6448,13.3205,28.2443,44.2029,1.2066,2.1236,-0.917,14.0927,24.2278,-10.1351,40.1544,51.4961,-11.3417
