"Date","Symbol","% 3 qtr ago","% 2 qtr ago","% 1 qtr ago","% current qtr","Change in 3 qtrs"
"4th Sep'26 3:29:00","HONASA",34.97,35.54,35.54,35.47,0.498
"4th Sep'26 3:29:00","MODIRUBBER",62.2,62.2,62.69,62.69,0.497
"4th Sep'26 3:29:00","WCIL",72.56,72.86,72.97,73.03,0.469
"4th Sep'26 3:29:00","BOROSCI",67.81,67.81,68.08,68.27,0.467
"4th Sep'26 3:29:00","RAMRAT",68.84,69.3,69.3,69.3,0.459
"4th Sep'26 3:29:00","CHEMBOND",67.65,67.72,68.08,68.11,0.457
"4th Sep'26 3:29:00","RPPL",43.78,43.9,43.97,44.22,0.448
"4th Sep'26 3:29:00","LAOPALA",65.84,65.84,66.15,66.28,0.445
"4th Sep'26 3:29:00","SBCL",33.17,33.17,33.37,33.61,0.442
"4th Sep'26 3:29:00","HCG",63.78,63.77,64.21,64.21,0.434
"4th Sep'26 3:29:00","JMFINANCIL",56.6,56.9,57.07,57.03,0.427
"4th Sep'26 3:29:00","KPEL",44.88,44.88,45.44,45.31,0.426
"4th Sep'26 3:29:00","AZAD",55.42,55.84,55.84,55.84,0.425
"4th Sep'26 3:29:00","EPACKPEB",64.54,65.06,64.96,64.95,0.411
"4th Sep'26 3:29:00","KANPRPLA",67.63,67.63,68.12,68.03,0.402
"4th Sep'26 3:29:00","EVEREADY",43.2,43.2,43.2,43.6,0.4
"4th Sep'26 3:29:00","COMSYN",58.79,58.79,59.18,59.18,0.395
"4th Sep'26 3:29:00","IRB",30.42,30.42,30.79,30.81,0.391
"4th Sep'26 3:29:00","TIGERLOGS",57.1,57.1,57.3,57.48,0.382
"4th Sep'26 3:29:00","CANTABIL",74.09,74.21,74.46,74.46,0.371
"4th Sep'26 3:29:00","SESHAPAPER",42.9,43.03,43.11,43.27,0.37
"4th Sep'26 3:29:00","MARUTI",58.28,58.28,58.53,58.65,0.369
"4th Sep'26 3:29:00","DOLLAR",72.21,72.21,72.48,72.57,0.365
"4th Sep'26 3:29:00","DIGITIDE",56.98,56.98,57.37,57.33,0.357
"4th Sep'26 3:29:00","JTLIND",48.91,49.26,49.26,49.26,0.356
"4th Sep'26 3:29:00","KRITI",68.72,68.72,69.07,69.07,0.356
"4th Sep'26 3:29:00","SANGAMIND",70.16,70.35,70.52,70.52,0.351
"4th Sep'26 3:29:00","FISCHER",61.8,61.8,62.15,62.15,0.35
"4th Sep'26 3:29:00","MEIL",74.44,74.79,74.79,74.79,0.346
"4th Sep'26 3:29:00","BANARBEADS",58.14,58.14,58.48,58.48,0.341
"4th Sep'26 3:29:00","JAIPURKURT",41.31,41.31,41.31,41.65,0.341
"4th Sep'26 3:29:00","DCM",49.76,49.88,50.1,50.1,0.339
"4th Sep'26 3:29:00","SHAH",29.15,29.15,29.15,29.49,0.337
"4th Sep'26 3:29:00","NAHARCAP",72.2,72.2,72.53,72.53,0.332
"4th Sep'26 3:29:00","JINDALSTEL",62.37,62.69,62.69,62.69,0.326
