"Date","Symbol","% 3 qtr ago","% 2 qtr ago","% 1 qtr ago","% current qtr","Change in 3 qtr"
"4th Sep'26 3:29:00","STARHEALTH",13.5,14.07,15.05,16.04,2.54
"4th Sep'26 3:29:00","AXISBANK",40.51,41.18,40.71,43,2.49
"4th Sep'26 3:29:00","SCI",6.49,7.13,8.98,8.97,2.48
"4th Sep'26 3:29:00","TDPOWERSYS",23.73,23.58,24.39,26.21,2.48
"4th Sep'26 3:29:00","HDIL",14.18,13.27,17.16,16.63,2.45
"4th Sep'26 3:29:00","SPARC",1.47,1.76,2.04,3.9,2.43
"4th Sep'26 3:29:00","COALINDIA",7.96,8.22,8.38,10.37,2.41
"4th Sep'26 3:29:00","TNPETRO",10.29,11.02,12.32,12.64,2.35
"4th Sep'26 3:29:00","SALASAR",3.55,4.97,4.97,5.9,2.35
"4th Sep'26 3:29:00","SENORES",4.28,3.35,3.64,6.62,2.34
"4th Sep'26 3:29:00","AETHER",5.29,4.89,6.52,7.62,2.33
"4th Sep'26 3:29:00","HEROMOTOCO",28.76,29.44,31.15,31.09,2.33
"4th Sep'26 3:29:00","SEAMECLTD",3.61,3.35,3.73,5.93,2.32
"4th Sep'26 3:29:00","RATNAVEER",1.23,1.32,8.35,3.53,2.3
"4th Sep'26 3:29:00","UFLEX",15.31,16.55,16.78,17.6,2.29
"4th Sep'26 3:29:00","IOLCP",2.59,2.25,2.08,4.87,2.28
"4th Sep'26 3:29:00","HINDCOPPER",3.71,5.06,6.56,5.96,2.25
"4th Sep'26 3:29:00","GUJALKALI",1.02,0.96,0.943,3.26,2.24
"4th Sep'26 3:29:00","SKYGOLD",0.55,0.776,1.19,2.79,2.24
"4th Sep'26 3:29:00","RRKABEL",8.44,8.46,9.11,10.67,2.24
"4th Sep'26 3:29:00","NHPC",10.05,10.39,10.34,12.29,2.24
"4th Sep'26 3:29:00","GPPL",19.82,21.04,22.14,22.04,2.23
"4th Sep'26 3:29:00","CLEAN",11.14,10,13.39,13.37,2.23
"4th Sep'26 3:29:00","MEDIASSIST",26.59,28.69,27.72,28.82,2.22
"4th Sep'26 3:29:00","WAAREEENER",8.27,8.82,8.96,10.48,2.22
"4th Sep'26 3:29:00","MODIRUBBER",22.74,24.73,22.92,24.92,2.18
"4th Sep'26 3:29:00","AUROPHARMA",14.21,13.94,15.24,16.38,2.17
"4th Sep'26 3:29:00","BBL",3.67,3.57,4.1,5.84,2.17
"4th Sep'26 3:29:00","FEDERALBNK",25.29,24.69,25.79,27.43,2.14
"4th Sep'26 3:29:00","RUBICON",9.37,12,11.54,11.51,2.14
"4th Sep'26 3:29:00","SALZERELEC",2.39,2.56,4.45,4.51,2.13
"4th Sep'26 3:29:00","KARURVYSYA",15.81,16.87,19.25,17.92,2.12
"4th Sep'26 3:29:00","PARAGMILK",9.91,13.84,13.35,12.03,2.12
"4th Sep'26 3:29:00","TMB",4.65,4.95,6.19,6.73,2.08
"4th Sep'26 3:29:00","ENGINERSIN",7.13,7,7.74,9.17,2.04
"4th Sep'26 3:29:00","WALCHANNAG",0.379,0.46,0.467,2.38,2
"4th Sep'26 3:29:00","WEL",8.98,9.52,9.97,10.98,2
"4th Sep'26 3:29:00","HINDWAREAP",3.15,3.11,3.36,5.15,1.99
"4th Sep'26 3:29:00","GCSL",0,0,1.1,1.99,1.99
"4th Sep'26 3:29:00","TRIVENI",5.71,6.96,7.44,7.69,1.99
"4th Sep'26 3:29:00","ADANIPORTS",13.61,13.1,13.25,15.58,1.97
"4th Sep'26 3:29:00","KERNEX",0.537,0.07,0.296,2.48,1.94
"4th Sep'26 3:29:00","SANSERA",19.93,19.71,19.14,21.87,1.94
"4th Sep'26 3:29:00","LUPIN",20.49,21.49,21.71,22.42,1.93
"4th Sep'26 3:29:00","CPPLUS",4.44,4.36,5.72,6.35,1.91
"4th Sep'26 3:29:00","RPTECH",1.39,0.66,0.782,3.27,1.88
"4th Sep'26 3:29:00","PARKHOTELS",2.18,3.29,4,4.07,1.88
"4th Sep'26 3:29:00","AWFIS",26.11,28.41,27.42,27.99,1.88
"4th Sep'26 3:29:00","MITCON",18.21,18.21,18.24,20.08,1.87
"4th Sep'26 3:29:00","EBGNG",3.42,2.41,2.78,5.27,1.85
"4th Sep'26 3:29:00","LAURUSLABS",26.16,26.52,25.82,28,1.84
"4th Sep'26 3:29:00","RELIGARE",7.8,7.61,7.85,9.64,1.83
"4th Sep'26 3:29:00","KOLTEPATIL",8.78,8.77,9.96,10.61,1.83
"4th Sep'26 3:29:00","ABCAPITAL",6.78,5.83,7.7,8.6,1.81
"4th Sep'26 3:29:00","HCC",9.59,10.42,10.92,11.39,1.8
"4th Sep'26 3:29:00","BANKBARODA",8.34,8.71,9.84,10.14,1.8
"4th Sep'26 3:29:00","MIDWESTLTD",2.11,4.7,4.38,3.88,1.78
"4th Sep'26 3:29:00","BELRISE",7.67,8.9,8.87,9.4,1.73
"4th Sep'26 3:29:00","PRECWIRE",0.75,1.33,1.65,2.47,1.72
"4th Sep'26 3:29:00","PFC",18.84,18.33,19.64,20.54,1.7
"4th Sep'26 3:29:00","ASIANPAINT",11.64,12.78,12.11,13.32,1.68
"4th Sep'26 3:29:00","IXIGO",59.64,63.69,64.19,61.29,1.64
"4th Sep'26 3:29:00","VIPULLTD",8.81,11.27,13.21,10.41,1.6
"4th Sep'26 3:29:00","TATASTEEL",17.8,17.98,19.07,19.39,1.59
"4th Sep'26 3:29:00","INOXGREEN",8.14,9.66,10.64,9.73,1.59
"4th Sep'26 3:29:00","GANECOS",8.79,7.2,8.89,10.38,1.59
"4th Sep'26 3:29:00","RAMCOSYS",9.89,9.88,9.95,11.48,1.59
"4th Sep'26 3:29:00","CUPID",2.58,1.48,1.01,4.17,1.59
"4th Sep'26 3:29:00","AXITA",3.73,5.01,5.62,5.32,1.58
"4th Sep'26 3:29:00","NAVINFLUOR",22.15,23.74,23.78,23.73,1.58
"4th Sep'26 3:29:00","JHS",1.57,1.57,3.6,3.14,1.57
"4th Sep'26 3:29:00","ENRIN",6.16,7.2,7.59,7.72,1.57
"4th Sep'26 3:29:00","J&KBANK",7.85,8.14,8.34,9.38,1.53
"4th Sep'26 3:29:00","BSOFT",11.26,10.91,13.65,12.78,1.53
"4th Sep'26 3:29:00","APARINDS",9.25,9.35,9.37,10.75,1.51
"4th Sep'26 3:29:00","KEI",25.83,25.48,27.27,27.32,1.5
"4th Sep'26 3:29:00","INDIANB",4.68,5.64,5.82,6.16,1.48
"4th Sep'26 3:29:00","NATCOPHARM",15.51,14.09,15.16,16.99,1.47
"4th Sep'26 3:29:00","TBZ",0,0,0.258,1.47,1.47
"4th Sep'26 3:29:00","SWANCORP",8.89,9.7,10.42,10.36,1.47
"4th Sep'26 3:29:00","MAYURUNIQ",3.31,3.24,3.67,4.78,1.46
"4th Sep'26 3:29:00","RESPONIND",30.61,31.23,32.2,32.07,1.46
"4th Sep'26 3:29:00","PARAS",6.85,5.69,5.06,8.29,1.44
"4th Sep'26 3:29:00","SUZLON",24.57,25.59,25.71,26.01,1.44
"4th Sep'26 3:29:00","SANDHAR",0.664,1.16,0.764,2.09,1.43
"4th Sep'26 3:29:00","CCL",10.65,10.53,11.01,12.07,1.42
"4th Sep'26 3:29:00","BHARATFORG",13.62,12.4,14.15,15.04,1.42
"4th Sep'26 3:29:00","MUFIN",0.84,1.07,1.18,2.26,1.42
"4th Sep'26 3:29:00","ASHAPURMIN",17.83,19.04,19.32,19.22,1.4
"4th Sep'26 3:29:00","HARSHA",0.394,0.41,2.37,1.79,1.4
"4th Sep'26 3:29:00","CEIGALL",2.48,2.9,3.14,3.88,1.39
"4th Sep'26 3:29:00","UNIPARTS",1.99,2.45,2.82,3.38,1.39
"4th Sep'26 3:29:00","POCL",1.75,2.34,2.22,3.14,1.39
"4th Sep'26 3:29:00","IOC",7.7,8.58,9.85,9.08,1.38
"4th Sep'26 3:29:00","DEEDEV",0.789,0.779,0.981,2.17,1.38
"4th Sep'26 3:29:00","NLCINDIA",3.24,3.22,3.62,4.62,1.38
"4th Sep'26 3:29:00","GNA",0.319,0.354,1.27,1.7,1.38
"4th Sep'26 3:29:00","AUBANK",34.83,36.78,37.6,36.21,1.38
"4th Sep'26 3:29:00","PRABHA",0.452,0.446,0.66,1.82,1.37
"4th Sep'26 3:29:00","NIVABUPA",13.14,12.74,13.02,14.5,1.36
"4th Sep'26 3:29:00","LUMAXTECH",7.34,8,8.38,8.7,1.36
"4th Sep'26 3:29:00","WHIRLPOOL",11.12,11.9,11.47,12.48,1.36
"4th Sep'26 3:29:00","APLAPOLLO",40.11,39.49,43.86,41.46,1.35
"4th Sep'26 3:29:00","TRANSRAILL",1.15,1.13,2.16,2.49,1.33
"4th Sep'26 3:29:00","BORORENEW",4.81,4.01,4.27,6.14,1.33
"4th Sep'26 3:29:00","TITAGARH",9.63,10.73,10.73,10.94,1.31
"4th Sep'26 3:29:00","LTF",6.41,6.66,7.63,7.71,1.3
"4th Sep'26 3:29:00","LICHSGFIN",20.17,20.36,21.39,21.47,1.3
"4th Sep'26 3:29:00","GAIL",13.62,13.98,12.95,14.92,1.3
"4th Sep'26 3:29:00","ADVENZYMES",25.41,25.86,25.49,26.71,1.29
"4th Sep'26 3:29:00","GOODLUCK",1.19,1.97,1.48,2.48,1.29
"4th Sep'26 3:29:00","VIKRAMSOLR",2.68,2.42,3.53,3.96,1.28
"4th Sep'26 3:29:00","SBIN",9.49,10.25,11.31,10.75,1.26
"4th Sep'26 3:29:00","WINDMACHIN",1.05,1.03,1.63,2.31,1.26
"4th Sep'26 3:29:00","PANACEABIO",1.06,1.36,1.6,2.31,1.25
"4th Sep'26 3:29:00","QPOWER",2.12,1.97,2.28,3.36,1.24
"4th Sep'26 3:29:00","SBC",1.57,2,0.766,2.79,1.23
"4th Sep'26 3:29:00","RMDRIP",3.02,2.5,3.85,4.24,1.22
"4th Sep'26 3:29:00","CREDITACC",12.29,11.68,12.94,13.48,1.2
"4th Sep'26 3:29:00","AHLUCONT",12.86,13.53,13.74,14.05,1.2
"4th Sep'26 3:29:00","MIDHANI",1.37,1.25,1.32,2.56,1.19
"4th Sep'26 3:29:00","RAJOOENG",0.03,1.74,1.66,1.22,1.19
"4th Sep'26 3:29:00","HNDFDS",6.68,6.64,6.71,7.84,1.16
"4th Sep'26 3:29:00","SHAREINDIA",0.718,1.44,1.54,1.88,1.16
"4th Sep'26 3:29:00","INOXWIND",13.37,14.16,14.61,14.53,1.15
"4th Sep'26 3:29:00","NYKAA",12.63,12.2,12.46,13.78,1.15
"4th Sep'26 3:29:00","KRISHNADEF",0.238,0.164,0.608,1.36,1.13
"4th Sep'26 3:29:00","GOLDIAM",0.876,0.742,0.623,1.99,1.11
"4th Sep'26 3:29:00","GANDHAR",0.174,0.348,0.143,1.28,1.1
"4th Sep'26 3:29:00","DATAPATTNS",11.4,11.55,12.48,12.5,1.1
"4th Sep'26 3:29:00","NITINSPIN",0.826,0.897,0.924,1.92,1.09
"4th Sep'26 3:29:00","SHAH",0,0.012,0,1.09,1.09
"4th Sep'26 3:29:00","ESCORTS",5.27,5.25,5.72,6.36,1.09
"4th Sep'26 3:29:00","BASF",4.14,4.12,5.34,5.21,1.07
"4th Sep'26 3:29:00","BAJAJHCARE",1.12,1.18,1.98,2.19,1.07
"4th Sep'26 3:29:00","NELCO",4.55,4.61,4.72,5.62,1.06
"4th Sep'26 3:29:00","VENUSREM",1.86,2.26,2.8,2.92,1.06
"4th Sep'26 3:29:00","JISLJALEQS",8.48,8.71,9.42,9.54,1.06
"4th Sep'26 3:29:00","GVPIL",0.121,0.16,1.27,1.18,1.06
"4th Sep'26 3:29:00","THANGAMAYL",4.49,4.7,4.37,5.54,1.05
"4th Sep'26 3:29:00","HSCL",5.74,5.75,5.98,6.8,1.05
"4th Sep'26 3:29:00","OFSS",8.65,8.36,8.04,9.7,1.05
"4th Sep'26 3:29:00","TATATECH",7.75,8.02,8.27,8.8,1.05
"4th Sep'26 3:29:00","GNFC",12.09,12.13,12.05,13.11,1.02
"4th Sep'26 3:29:00","V2RETAIL",2.1,3.01,2.62,3.11,1.01
"4th Sep'26 3:29:00","MSPL",0.183,0.373,0.121,1.18,0.994
"4th Sep'26 3:29:00","APEX",4.84,4.74,6,5.83,0.994
"4th Sep'26 3:29:00","MONARCH",1.78,1.44,1.47,2.77,0.993
"4th Sep'26 3:29:00","ATALREAL",1.48,6.18,3.58,2.46,0.984
"4th Sep'26 3:29:00","MPHASIS",18.52,19.79,19.5,19.5,0.98
"4th Sep'26 3:29:00","GAEL",2.04,1.6,2.19,3.02,0.978
"4th Sep'26 3:29:00","SATIN",3.91,3.54,3.51,4.88,0.975
"4th Sep'26 3:29:00","ADOR",0.095,0.138,0.372,1.06,0.966
"4th Sep'26 3:29:00","MRPL",1.21,2.05,3.41,2.17,0.952
"4th Sep'26 3:29:00","MARINE",0.18,0.648,0,1.12,0.942
"4th Sep'26 3:29:00","ALKEM",9.48,9.97,10.16,10.42,0.94
"4th Sep'26 3:29:00","HONAUT",3.01,3.46,3.74,3.95,0.94
"4th Sep'26 3:29:00","USHAMART",13.93,14.4,14.54,14.87,0.939
"4th Sep'26 3:29:00","WINDLAS",1.11,0.932,0.596,2.04,0.934
"4th Sep'26 3:29:00","TEGA",1.87,1.47,2.15,2.8,0.928
"4th Sep'26 3:29:00","GLOBUSSPR",6.54,6.47,7.53,7.46,0.921
"4th Sep'26 3:29:00","ONGC",7.09,6.98,7.42,8.01,0.921
"4th Sep'26 3:29:00","POLYPLEX",33.59,33.25,34.18,34.5,0.913
"4th Sep'26 3:29:00","IFCI",2.6,2.58,2.65,3.51,0.909
"4th Sep'26 3:29:00","OLECTRA",7.05,6.9,7.11,7.95,0.905
"4th Sep'26 3:29:00","ANTHEM",4.41,4.11,4.02,5.31,0.902
"4th Sep'26 3:29:00","TIGERLOGS",11.78,11.32,11.48,12.68,0.9
"4th Sep'26 3:29:00","WHEELS",1.08,1.18,1.15,1.98,0.898
"4th Sep'26 3:29:00","NUVOCO",3.82,5.19,5,4.71,0.893
"4th Sep'26 3:29:00","PRAJIND",16.86,17.32,17.74,17.75,0.892
"4th Sep'26 3:29:00","HINDZINC",1.31,1.54,2.39,2.2,0.886
"4th Sep'26 3:29:00","MOTHERSON",21.59,21.35,22.05,22.47,0.879
"4th Sep'26 3:29:00","UFBL",9.68,9.34,9.67,10.55,0.867
"4th Sep'26 3:29:00","AVANTEL",0.668,0.604,0.553,1.53,0.863
"4th Sep'26 3:29:00","BHAGYANGR",0,0.438,0.408,0.861,0.861
"4th Sep'26 3:29:00","MSTCLTD",4.06,3.81,3.93,4.92,0.86
"4th Sep'26 3:29:00","THOMASCOOK",5.32,7.28,7.56,6.18,0.859
"4th Sep'26 3:29:00","TFCILTD",8.61,8.34,6.76,9.46,0.851
"4th Sep'26 3:29:00","ACCELYA",0.258,0.303,0.161,1.11,0.848
"4th Sep'26 3:29:00","SUNDRMFAST",10.55,10.01,11.25,11.4,0.844
"4th Sep'26 3:29:00","FUSION",3.93,4.89,4.74,4.77,0.844
"4th Sep'26 3:29:00","GLAND",7.91,7.58,7.3,8.74,0.832
"4th Sep'26 3:29:00","DENORA",0.006,0.012,0.719,0.831,0.825
"4th Sep'26 3:29:00","DREDGECORP",0.212,0.514,0.376,1.03,0.822
"4th Sep'26 3:29:00","NSLNISP",4.67,4.8,4.85,5.49,0.82
"4th Sep'26 3:29:00","OPTIEMUS",2.43,2.61,2.86,3.25,0.819
"4th Sep'26 3:29:00","ANANDRATHI",5.56,6.66,5.78,6.37,0.811
"4th Sep'26 3:29:00","DIVISLAB",19.39,20.08,20.29,20.2,0.803
"4th Sep'26 3:29:00","CYBERTECH",17.52,17.54,17.66,18.33,0.802
"4th Sep'26 3:29:00","DSSL",0.282,0.341,0.368,1.08,0.795
"4th Sep'26 3:29:00","DHRUV",1.39,2.34,2.24,2.17,0.787
"4th Sep'26 3:29:00","ACC",5.15,6.09,6.03,5.93,0.786
"4th Sep'26 3:29:00","CANBK",11.9,14.62,14.24,12.68,0.785
"4th Sep'26 3:29:00","AEROENTER",0.462,0.564,0.541,1.24,0.779
"4th Sep'26 3:29:00","POKARNA",6.13,6.82,6.9,6.91,0.774
"4th Sep'26 3:29:00","UNIONBANK",7.86,8.14,9.37,8.63,0.774
"4th Sep'26 3:29:00","FILATFASH",0.021,0.46,0.523,0.79,0.769
"4th Sep'26 3:29:00","YATRA",4.2,5.05,4.25,4.95,0.755
"4th Sep'26 3:29:00","GTLINFRA",0.846,0.869,0.895,1.6,0.754
"4th Sep'26 3:29:00","PATELENG",2.53,2.52,2.86,3.28,0.749
"4th Sep'26 3:29:00","SGMART",4.37,4.46,5.07,5.11,0.744
"4th Sep'26 3:29:00","KRBL",6.54,7.57,7.76,7.28,0.742
"4th Sep'26 3:29:00","SANDUMA",1,1.2,1.64,1.74,0.737
"4th Sep'26 3:29:00","EIHOTEL",5.93,6.17,6.62,6.65,0.729
"4th Sep'26 3:29:00","SUPRIYA",5.46,5.2,5.16,6.19,0.728
"4th Sep'26 3:29:00","FLAIR",0.046,0.298,0.299,0.774,0.727
"4th Sep'26 3:29:00","HARIOMPIPE",9.53,9.23,9.49,10.25,0.721
"4th Sep'26 3:29:00","CIEINDIA",4.24,4.32,4.73,4.95,0.718
"4th Sep'26 3:29:00","CANFINHOME",12.52,13.24,13.37,13.23,0.709
"4th Sep'26 3:29:00","RAMASTEEL",2.47,7.36,7.65,3.18,0.708
"4th Sep'26 3:29:00","RPOWER",12.93,13.09,13.25,13.64,0.705
"4th Sep'26 3:29:00","UNIVCABLES",0.406,0.808,0.681,1.11,0.705
"4th Sep'26 3:29:00","MANORAMA",2.52,2.71,2.89,3.22,0.696
"4th Sep'26 3:29:00","SOUTHWEST",0.12,0.081,0.765,0.807,0.688
"4th Sep'26 3:29:00","SURYODAY",21.73,22.03,22.3,22.41,0.687
"4th Sep'26 3:29:00","PITTIENG",0.871,0.921,1.11,1.55,0.676
"4th Sep'26 3:29:00","VIRINCHI",0.213,0.134,0.193,0.882,0.669
"4th Sep'26 3:29:00","TSFINV",2.6,3.15,3.2,3.27,0.668
"4th Sep'26 3:29:00","RPEL",0.152,0.107,0.366,0.812,0.66
"4th Sep'26 3:29:00","ANGELONE",13.11,12.45,12.8,13.76,0.655
