"Date","Symbol","% 3 quarter ago","% 2 quarter ago","% 1 quarter ago","% current quarter","Change in % in 3 qtrs","Change in % in 1 qtr"
"4th Sep'26 3:29:00","TCS",12.7,12.88,13.41,13.48,0.778,0.062
"4th Sep'26 3:29:00","WSTCSTPAPR",12.62,12.66,13.11,13.63,1.01,0.52
"4th Sep'26 3:29:00","DEEPAKFERT",12.6,13.17,13.24,14.69,2.08,1.45
"4th Sep'26 3:29:00","MIDWESTLTD",12.51,13.71,13.78,14.56,2.05,0.779
"4th Sep'26 3:29:00","COLPAL",12.24,13.79,15.53,15.83,3.59,0.292
"4th Sep'26 3:29:00","FIVESTAR",12.17,14.73,17.58,22.35,10.19,4.77
"4th Sep'26 3:29:00","TCPLPACK",12.15,12.67,13.57,13.69,1.54,0.124
"4th Sep'26 3:29:00","USHAMART",12.1,13.9,14.59,15.02,2.92,0.436
"4th Sep'26 3:29:00","MANKIND",11.92,13.25,14.46,15.39,3.47,0.932
"4th Sep'26 3:29:00","VBL",11.79,13.56,14.4,15.21,3.42,0.806
"4th Sep'26 3:29:00","MASTEK",11.53,12.65,19.03,19.86,8.34,0.836
"4th Sep'26 3:29:00","ABLBL",11.48,17.06,20.25,20.81,9.33,0.56
"4th Sep'26 3:29:00","CARYSIL",11.33,11.34,11.73,11.91,0.579,0.182
"4th Sep'26 3:29:00","REDTAPE",10.77,10.88,11.01,11.74,0.974,0.735
"4th Sep'26 3:29:00","KSL",10.75,11.11,11.15,11.49,0.739,0.339
"4th Sep'26 3:29:00","BERGEPAINT",10.71,11.08,11.71,11.79,1.08,0.082
"4th Sep'26 3:29:00","360ONE",10.68,10.82,12.75,18.71,8.02,5.95
"4th Sep'26 3:29:00","JUBLPHARMA",10.52,11.22,11.62,12.4,1.88,0.777
"4th Sep'26 3:29:00","BHARTIHEXA",10.24,10.28,10.6,10.64,0.402,0.039
"4th Sep'26 3:29:00","FIEMIND",10.05,10.87,11.4,11.6,1.55,0.198
"4th Sep'26 3:29:00","ADANIENSOL",9.96,10.14,10.25,11.76,1.8,1.51
"4th Sep'26 3:29:00","DATAPATTNS",9.79,10.27,11.68,11.98,2.19,0.305
"4th Sep'26 3:29:00","AJAXENGG",9.42,9.71,10.15,11.17,1.74,1.01
"4th Sep'26 3:29:00","TIRUMALCHM",9.32,9.47,9.94,10.07,0.749,0.135
"4th Sep'26 3:29:00","MANAPPURAM",9.17,11.14,12.97,14.85,5.68,1.88
"4th Sep'26 3:29:00","FACT",9.01,9.01,9.02,9.03,0.018,0.008
"4th Sep'26 3:29:00","HAL",8.73,9.74,10.5,11.98,3.25,1.48
"4th Sep'26 3:29:00","SUMICHEM",8.47,8.65,8.98,9.33,0.864,0.348
"4th Sep'26 3:29:00","LTFOODS",8.34,9.63,10.3,10.84,2.49,0.539
"4th Sep'26 3:29:00","ABB",8.31,9.15,9.29,9.9,1.58,0.608
"4th Sep'26 3:29:00","INGERRAND",8.19,8.2,8.21,8.97,0.785,0.765
"4th Sep'26 3:29:00","SAATVIKGL",8.05,9.35,10.52,10.97,2.93,0.455
"4th Sep'26 3:29:00","SIEMENS",8.05,8.36,8.59,9.09,1.04,0.496
"4th Sep'26 3:29:00","TRAVELFOOD",8.04,8.84,9.71,10.02,1.99,0.313
"4th Sep'26 3:29:00","ITI",7.93,7.94,7.95,7.95,0.018,0.005
"4th Sep'26 3:29:00","JSWCEMENT",7.88,8.09,8.74,11.49,3.6,2.75
"4th Sep'26 3:29:00","EXCELINDUS",7.01,7.02,7.02,7.02,0.019,0.002
"4th Sep'26 3:29:00","RPGLIFE",6.7,7.04,7.45,8.67,1.98,1.23
"4th Sep'26 3:29:00","VINCOFE",6.25,6.27,7.63,9.59,3.33,1.96
"4th Sep'26 3:29:00","ELGIEQUIP",6.25,8.09,9.08,10.13,3.88,1.04
"4th Sep'26 3:29:00","KRN",6.21,6.36,6.39,8.33,2.12,1.94
"4th Sep'26 3:29:00","TARC",5.81,6.31,6.4,6.44,0.627,0.041
"4th Sep'26 3:29:00","SIMPLEXINF",5.66,5.8,5.82,6.6,0.938,0.779
"4th Sep'26 3:29:00","VISHNU",5.59,5.71,5.72,5.94,0.35,0.228
"4th Sep'26 3:29:00","JKPAPER",5.57,5.86,6.14,6.27,0.697,0.127
"4th Sep'26 3:29:00","SUNDROP",5.31,5.33,5.56,5.79,0.478,0.233
"4th Sep'26 3:29:00","ASTRAZEN",5.26,5.56,5.8,6.08,0.82,0.283
"4th Sep'26 3:29:00","EDELWEISS",5.24,5.71,6.46,7.25,2.01,0.794
"4th Sep'26 3:29:00","DLF",5.21,5.78,6.94,8.04,2.83,1.1
"4th Sep'26 3:29:00","ALIVUS",5.19,5.61,7.12,7.28,2.09,0.152
"4th Sep'26 3:29:00","ASKAUTOLTD",4.99,9.13,10.26,10.97,5.98,0.714
"4th Sep'26 3:29:00","IKS",4.89,6.06,6.4,7.5,2.6,1.09
"4th Sep'26 3:29:00","HERITGFOOD",4.32,4.87,6.22,6.38,2.06,0.163
"4th Sep'26 3:29:00","ELECON",4.17,4.53,5.71,7.23,3.06,1.51
"4th Sep'26 3:29:00","HIKAL",4.03,5.16,7.05,7.24,3.21,0.183
"4th Sep'26 3:29:00","TI",3.81,4.9,5.92,6.27,2.46,0.357
"4th Sep'26 3:29:00","MEESHO",3.61,5.28,5.55,9.14,5.53,3.59
"4th Sep'26 3:29:00","SCHNEIDER",3.28,3.29,4.07,4.67,1.38,0.593
"4th Sep'26 3:29:00","ADANIGREEN",2.98,4.31,4.56,4.82,1.84,0.262
"4th Sep'26 3:29:00","BLS",2.9,2.93,2.99,3.1,0.196,0.109
"4th Sep'26 3:29:00","ALKYLAMINE",2.88,3,3.01,3.11,0.225,0.092
"4th Sep'26 3:29:00","EVEREADY",2.7,2.75,2.78,2.84,0.136,0.055
"4th Sep'26 3:29:00","ADANIPOWER",2.69,3.42,3.69,4.08,1.39,0.394
"4th Sep'26 3:29:00","KAYA",2.53,2.79,2.95,2.99,0.457,0.033
"4th Sep'26 3:29:00","GOODLUCK",2.06,3.22,4.41,6.5,4.44,2.09
"4th Sep'26 3:29:00","PENIND",1.98,2.17,5.28,5.9,3.92,0.616
"4th Sep'26 3:29:00","KRONOX",1.93,2,2.05,2.07,0.139,0.018
"4th Sep'26 3:29:00","PANACEABIO",1.81,1.85,1.97,2.25,0.447,0.289
"4th Sep'26 3:29:00","AMBIKCO",1.64,1.64,1.7,1.71,0.077,0.012
"4th Sep'26 3:29:00","IRFC",1.49,1.55,2.9,3.98,2.49,1.08
"4th Sep'26 3:29:00","MAXIND",1.43,1.58,1.63,1.66,0.23,0.033
"4th Sep'26 3:29:00","ALLDIGI",1.37,1.43,1.44,1.57,0.202,0.127
"4th Sep'26 3:29:00","STEELCAS",1.1,2.22,2.53,2.55,1.45,0.026
"4th Sep'26 3:29:00","CSLFINANCE",0.959,1.34,2.91,3.54,2.58,0.637
"4th Sep'26 3:29:00","YASHO",0.956,1.05,1.97,2.21,1.26,0.242
"4th Sep'26 3:29:00","ROHLTD",0.808,0.839,0.867,0.908,0.1,0.04
"4th Sep'26 3:29:00","ARROWGREEN",0.686,0.791,0.821,0.993,0.307,0.172
"4th Sep'26 3:29:00","PIXTRANS",0.672,1.55,2.5,2.69,2.02,0.188
