"Date","Symbol","% 3 quarter ago","% 2 quarter ago","% 1 quarter ago","% current quarter","Change in % in 3 qtrs","Change in % in 1 qtr"
"4th Sep'26 3:29:00","GSEC10YEAR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BUILDPRO","NaN",4.42,12.13,13.67,"NaN",1.54
"4th Sep'26 3:29:00","MAHKTECH","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NEXT50ETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BBETF0432","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","AYE","NaN",18.17,18.39,19.75,"NaN",1.36
"4th Sep'26 3:29:00","HDFCNIFTY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GROWWHOSPI","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LIQUID","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","PSUBANKADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","POWERICA","NaN","NaN",15.37,16.59,"NaN",1.22
"4th Sep'26 3:29:00","NIFTYBEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYMEDIA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY50VALUE20","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BSLGOLDETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CNXINFRA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CNXSMALLCAP","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MIDCAPBETA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","KISSHT","NaN","NaN","NaN",19.04,"NaN","NaN"
"4th Sep'26 3:29:00","SBIVALETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","PVTBKGROWW","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LICNETFN50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","VOGL","NaN","NaN","NaN",8.69,"NaN","NaN"
"4th Sep'26 3:29:00","HDFCSENSEX","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SMALLIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","TURTLEMINT","NaN","NaN","NaN",13.44,"NaN","NaN"
"4th Sep'26 3:29:00","BBNPPGOLD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HEALTHAXIS","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","INFRAIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LASERPOWER","NaN","NaN","NaN",8.18,"NaN","NaN"
"4th Sep'26 3:29:00","AEROPLANE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BANK10BETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOMMIDCAP","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","XTRANET","NaN","NaN","NaN",0,"NaN","NaN"
"4th Sep'26 3:29:00","TATSILV","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ELMDIV","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NV20IETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MYSORPETRO","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BRAHMINFRA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","VADILENT","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MANBRO","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ORIRAIL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","TOYAMSL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","VASUPRADA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SPELS","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SHIVACEM","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","TANAA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","FREDUN","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GOLDCASE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","OPTIFIN","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SAMBANDAM","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BLUECLOUDS","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","PARNAXLAB","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","TUTIALKA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","VIJSOLX","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","AKCAPIT","NaN","NaN",0,0.108,"NaN",0.108
"4th Sep'26 3:29:00","MOHITE","NaN","NaN","NaN","NaN","NaN","NaN"
