"Date","Abv 10ma","Abv 20ma","Abv 50ma","Abv 200ma"
"18th Sep'25",65.73,65.58,57.52,49.36
"17th Sep'25",68.08,65.84,57.1,49.31
"16th Sep'25",66.49,62.66,54.33,48.06
"15th Sep'25",60.71,58.24,49.33,45.57
"12th Sep'25",55.6,53.01,46.27,43.78
"11th Sep'25",57.8,53.97,46.03,43.4
"10th Sep'25",59.47,53.49,45.55,43.59
"9th Sep'25",50.86,46.22,40.38,41.05
"8th Sep'25",52.41,46.59,40.45,41.5
"5th Sep'25",49.33,42.2,39.19,39.43
"4th Sep'25",48.44,42.99,38.87,40.21
"3rd Sep'25",62.48,49.16,41.59,41.21
"2nd Sep'25",50.36,40.91,36.26,39.04
"1st Sep'25",40.09,33.83,32.44,37.31
"29th Aug'25",23.64,24.07,26.91,33.97
"28th Aug'25",22.62,24.69,27.28,34.29
"26th Aug'25",29.11,28.48,31.08,37.08
"25th Aug'25",48.85,42,38.22,41.81
"22nd Aug'25",49.9,41.29,38.74,41.29
"21st Aug'25",58.76,46.2,41.53,41.67
"20th Aug'25",61.84,45.86,41.1,41.67
"19th Aug'25",55.78,41.47,38.01,41.33
"18th Aug'25",41.92,32.95,34.24,39.09
"14th Aug'25",28.5,24.49,28.98,36.02
"13th Aug'25",33.11,27.03,31.13,37.93
"12th Aug'25",27.35,23.4,28.51,36.76
"11th Aug'25",23.45,20.33,27.68,36.09
"8th Aug'25",17.32,17.37,25.76,35.5
"7th Aug'25",20.26,20.5,29.81,38.98
"6th Aug'25",19.2,21.13,30.29,39.7
"5th Aug'25",26.3,26.4,34.12,42.23
"4th Aug'25",26.11,26.4,36.56,43.45
"1st Aug'25",19.25,21.91,33.85,41.39
"31st Jul'25",25.73,28.06,40.63,46.16
"30th Jul'25",30.95,32.26,44.75,47.76
"29th Jul'25",25.96,29.12,43.61,47.64
"28th Jul'25",18.01,23.08,38,44.52
"25th Jul'25",22.46,30.19,46.23,49.25
"24th Jul'25",38.79,44.63,59.16,55.57
"23rd Jul'25",42.66,48.83,61.19,56.08
"22nd Jul'25",42.56,48.74,62.35,56.27
"21st Jul'25",46.35,52.63,65.35,56.65
"18th Jul'25",49.42,55.99,68.4,58.13
"17th Jul'25",59.88,63.19,72.64,59.4
"16th Jul'25",60.09,62.52,72.71,58.77
"15th Jul'25",55.73,58.85,69.53,57.09
"14th Jul'25",40.99,47.97,62.74,53.39
"11th Jul'25",40.26,48.71,65.2,53.39
"10th Jul'25",51.42,57.38,69.99,55.47
"9th Jul'25",51.15,57.5,70,54.86
"8th Jul'25",48.1,56.35,69.73,54.69
"7th Jul'25",51.82,59.25,71.01,54.93
"4th Jul'25",59.54,64.52,73.84,55.93
"3rd Jul'25",57.69,63.06,72.13,55.1
"2nd Jul'25",57.06,62.09,71.67,53.83
"1st Jul'25",65.04,67.97,73.5,54.47
"30th Jun'25",69.98,69.93,73.78,54.97
"27th Jun'25",66.62,66.76,71.72,54.02
"26th Jun'25",64.98,63.36,70.43,52.43
"25th Jun'25",67.75,63.14,70.15,52.06
"24th Jun'25",45.74,47.16,61.76,47.3
"23rd Jun'25",29.53,36.79,53.61,44.79
"20th Jun'25",26.85,36.7,55.71,44.1
"19th Jun'25",18.29,28.79,50.32,42.13
"18th Jun'25",30.89,43.81,62.72,48.18
"17th Jun'25",34.77,47.84,65.57,49.56
"16th Jun'25",42.6,57.65,70.88,51.98
"13th Jun'25",41.62,59.21,72.14,50.86
"12th Jun'25",51.11,68.45,76.31,53.66
"11th Jun'25",74.48,79.15,81.21,57.41
"10th Jun'25",74.8,78.68,80.16,56.29
"9th Jun'25",74.09,77.96,79.09,54.8
"6th Jun'25",62.71,70.56,74.09,50.83
"5th Jun'25",58.64,68.4,70.41,48.53
"4th Jun'25",55.4,65.55,69.97,46.96
"3rd Jun'25",53.07,64.6,69.86,46.24
"2nd Jun'25",58.06,67.76,70.99,46.15
"30th May'25",57.64,68.93,71.94,46.5
"29th May'25",63.91,72.53,72.83,47.73
"28th May'25",66.49,74.53,73.74,46.94
"27th May'25",69.6,76.75,75.42,47.09
"26th May'25",72.54,78.68,76.67,45.87
"23rd May'25",73.96,79.84,76.48,45.31
"22nd May'25",72.2,78.67,74.27,43.31
"21st May'25",78.77,82.07,75.8,43.56
"20th May'25",78.16,82.56,75.4,41.95
"19th May'25",89.19,88.75,80.8,44.99
"16th May'25",89.63,88.35,78.72,42.42
"15th May'25",88.83,85.42,73.32,39.23
"14th May'25",88.44,83.25,67.98,35.82
"13th May'25",83.51,76.25,57.28,31.56
"12th May'25",79.21,68.4,50.42,28.99
"9th May'25",18.07,22.02,25.43,20.3
"8th May'25",20.59,25.68,27.51,20.89
"7th May'25",26.49,31.67,32.51,22.79
"6th May'25",17.66,26.44,27.87,20.72
"5th May'25",40.15,47.57,40.34,25.7
"2nd May'25",24.42,34.39,34.29,23.73
"30th Apr'25",24.7,37.65,34.93,23.96
"29th Apr'25",42.93,56.47,45.75,26.63
"28th Apr'25",45.13,59.39,47.54,27.29
"25th Apr'25",41.92,60.36,45.87,26.89
"24th Apr'25",84.94,86.42,66.91,32.64
"23rd Apr'25",88.15,87.71,65.55,33.17
"22nd Apr'25",91.27,88.75,65.32,32.36
"21st Apr'25",90.85,87.45,59.89,30.71
"17th Apr'25",87.38,80.83,50.52,27.35
"16th Apr'25",87.62,80.07,47.26,26.25
"15th Apr'25",85.58,73.43,39.86,24.56
"11th Apr'25",54.07,45.63,26.44,19.73
"9th Apr'25",27.62,26.28,17.69,15.61
"8th Apr'25",31.9,29.68,19.65,16.69
"7th Apr'25",12.63,15.39,12.83,13.42
"4th Apr'25",41.14,40.69,25.53,19.7
"3rd Apr'25",79.51,68.4,38.27,24.15
"2nd Apr'25",68.54,57.23,31.41,21.58
"1st Apr'25",54.04,47.04,27,19.31
"28th Mar'25",36.38,37.07,25.02,19.2
"27th Mar'25",43.43,41.7,25.49,19.96
"26th Mar'25",38.67,40.3,23.06,18.47
"25th Mar'25",58.3,52.22,28.16,20.21
"24th Mar'25",82.85,69.44,34.89,22.67
"21st Mar'25",82.25,65.13,29.23,20.28
