"Date","4% advance","4% decline","Net breadth","3% range","5d range","Volume","+15% in 5d","-10% in 5d","10% + 10ema","10% - 10ema"
"5th Dec'25",3.16,3.76,-0.604,50.14,12.35,0.261,0.696,3.9,0.696,0.743
"4th Dec'25",2.46,2.74,-0.279,54.92,12.81,0.232,0.743,2.69,0.557,0.65
"3rd Dec'25",1.49,3.71,-2.23,48.98,11.65,0.257,0.696,2.18,0.279,0.975
"2nd Dec'25",2.42,2.88,-0.465,56.94,15.84,0.241,1.49,1.35,0.79,0.511
"1st Dec'25",3.75,3.52,0.231,48.98,15.12,0.283,1.71,1.11,0.925,0.601
"28th Nov'25",4.47,2.19,2.28,57.62,13.32,0.263,1.07,1.21,0.699,0.28
"27th Nov'25",3.86,2.14,1.72,53.77,10.8,0.222,0.745,1.86,0.559,0.605
"26th Nov'25",7.17,1.07,6.1,49.98,8.2,0.277,0.745,2.1,0.606,0.559
"25th Nov'25",5.13,1.96,3.17,48.04,8.11,0.31,0.606,4.1,0.466,0.979
"24th Nov'25",2.69,11.74,-9.05,32.81,7.42,0.675,0.603,7.15,0.418,1.58
"21st Nov'25",2.52,4.48,-1.96,49.28,11.01,0.295,0.793,3.36,0.653,0.84
"20th Nov'25",3.41,1.91,1.49,52.12,13.21,0.371,1.31,2.89,0.933,0.42
"19th Nov'25",3.55,3.41,0.14,52.05,11.62,0.433,1.63,3.64,1.07,0.747
"18th Nov'25",2.66,3.64,-0.981,50.3,12.33,0.463,2.01,2.38,0.981,0.654
"17th Nov'25",6.56,4,2.56,47.98,11.58,0.762,2.14,2.28,1.44,0.697
"14th Nov'25",5.14,3.18,1.96,50.4,10.05,0.515,1.59,2.76,1.17,0.514
"13th Nov'25",4.35,4.07,0.281,45.55,8.05,0.753,1.54,3,0.983,0.515
"12th Nov'25",6.89,2.2,4.68,47.63,6.32,0.75,0.843,3.93,0.89,0.468
"11th Nov'25",4.55,4.17,0.375,44.85,4.59,0.633,1.17,5.67,0.937,1.08
"10th Nov'25",5.17,6.66,-1.49,39.56,4.43,0.702,1.44,5.22,1.17,1.03
"7th Nov'25",4.97,3.71,1.27,39.92,4.5,0.671,1.31,3.19,1.22,0.75
"6th Nov'25",2.77,11.12,-8.35,32.85,7.56,0.909,1.41,3.28,0.986,0.704
"4th Nov'25",2.91,2.77,0.141,51.06,15.63,0.596,1.78,1.64,1.45,0.282
"3rd Nov'25",6.68,3.08,3.59,51.63,16.95,0.737,1.87,1.73,1.82,0.513
"31st Oct'25",3.67,2.26,1.41,54,18.72,0.508,1.83,1.46,1.18,0.282
"30th Oct'25",3.53,1.83,1.69,61.05,19.47,0.5,1.6,1.41,1.36,0.282
"29th Oct'25",4.99,2.07,2.92,53.62,15.57,0.811,1.65,1.65,1.36,0.141
"28th Oct'25",4.32,2.39,1.92,57.06,17.55,0.638,1.69,0.892,0.939,0.235
"27th Oct'25",5.41,3.03,2.38,54.6,16.15,0.662,2.66,1.17,1.77,0.327
"24th Oct'25",3.24,2.39,0.845,57.91,16.85,0.402,1.92,0.798,1.6,0.188
"23rd Oct'25",5.63,3.29,2.35,47.09,15.77,0.879,2.25,0.563,1.83,0.094
"21st Oct'25",4.65,0.282,4.37,63.05,16.17,0.03,2.49,0.517,1.65,0.094
"20th Oct'25",6.77,2.38,4.39,50.21,12.89,0.403,1.73,1.68,1.45,0.187
"17th Oct'25",3.24,3.67,-0.423,48.68,12.92,0.44,1.36,2.35,1.08,0.423
"16th Oct'25",5.69,1.64,4.04,53.52,12.31,0.424,1.6,1.74,1.36,0.329
"15th Oct'25",6.39,2.21,4.18,51.62,12.69,0.42,1.5,2.54,1.18,0.423
"14th Oct'25",2.54,5.97,-3.43,39.46,12.09,0.442,1.27,3.06,0.988,0.706
"13th Oct'25",2.91,3.89,-0.984,55.15,15,0.298,1.92,1.69,1.59,0.469
"10th Oct'25",5.7,1.7,4.01,54.08,13.2,0.41,1.98,1.04,1.23,0.236
"9th Oct'25",5.51,3.3,2.21,54.17,11.68,0.32,2.64,1.37,1.79,0.377
"8th Oct'25",4.85,2.12,2.73,49.79,10.13,0.39,3.25,0.848,1.98,0.188
"7th Oct'25",4.67,2.83,1.84,51.72,10.94,0.394,2.17,0.613,1.46,0.283
"6th Oct'25",5.27,3.01,2.26,43.84,8.14,0.432,2.21,1.22,1.65,0.329
"3rd Oct'25",8.46,1.09,7.37,48.84,7.32,0.486,1.65,1.37,1.56,0.095
"1st Oct'25",9.08,0.71,8.37,47.11,4.78,0.313,1.04,2.03,1.09,0.378
"30th Sep'25",3.27,2.75,0.522,44.73,3.8,0.349,0.806,5.46,0.712,0.664
"29th Sep'25",4.16,4.87,-0.709,34.59,2.55,0.601,1.18,6.1,0.992,0.709
"26th Sep'25",1.38,11.14,-9.76,31.13,3.14,0.564,1.33,5.71,0.809,0.476
"25th Sep'25",2.86,3.77,-0.906,49,8.53,0.41,1.81,2.43,1.48,0.143
"24th Sep'25",3.53,3,0.524,50.33,10.58,0.447,1.86,1.33,1.72,0.143
"23rd Sep'25",4.96,2.15,2.81,53.24,13.5,0.529,1.96,1.24,1.86,0.095
"22nd Sep'25",4.89,3.56,1.33,46.8,15.38,0.741,2.61,0.902,2.09,0.142
"19th Sep'25",5.16,1.81,3.34,55.8,18,1.05,2.39,0.621,1.62,0.286
"18th Sep'25",4.2,1.67,2.53,54.27,17.95,0.715,2.77,0.573,1.96,0.143
"17th Sep'25",5.35,1.58,3.77,57.19,17.63,0.881,2.77,0.526,2.1,0.191
"16th Sep'25",6.03,0.957,5.07,57.01,17.42,0.744,2.44,0.862,2.39,0.144
"15th Sep'25",6.57,1.43,5.14,56.14,16.67,0.577,2.48,1,2.05,0.191
"12th Sep'25",4.07,1.58,2.49,56.6,14.98,0.471,2.25,0.957,1.63,0.143
"11th Sep'25",4.45,2.25,2.2,52.2,15.02,0.601,2.58,0.909,1.82,0.239
"10th Sep'25",6.84,2.06,4.78,48.04,10.05,0.858,2.2,0.909,1.96,0.191
"9th Sep'25",4.78,2.87,1.91,52.63,11,0.445,2.63,0.766,2.3,0.287
"8th Sep'25",8.24,2.19,6.05,45.97,10.34,0.523,3.53,0.858,2.95,0.286
"5th Sep'25",5.6,1.67,3.92,49.81,8.18,0.34,3.25,0.622,2.44,0.239
"4th Sep'25",3.93,2.54,1.39,35.9,7.66,0.634,2.78,0.766,1.91,0.287
"3rd Sep'25",8.62,1.05,7.57,51.94,8.72,0.582,2.16,0.91,1.96,0.192
"2nd Sep'25",8.87,1.77,7.1,42.83,6.81,0.674,1.44,1.39,1.58,0.192
"1st Sep'25",9.32,1.43,7.88,47.06,5.69,0.379,1.34,2.01,1.53,0.478
"29th Aug'25",3.75,2.21,1.54,46.42,5.29,0.295,0.913,3.36,0.865,0.48
"28th Aug'25",2.4,5.76,-3.36,43.47,4.61,0.337,0.913,2.55,0.672,0.528
"26th Aug'25",1.97,6.1,-4.13,39,7.4,0.501,1.34,1.34,0.865,0.336
"25th Aug'25",5.56,3.21,2.35,48.08,13.17,0.435,2.49,0.718,1.58,0.335
"22nd Aug'25",3.99,1.68,2.31,55.05,10.35,0.312,3.46,0.529,1.64,0.096
