date,time,group,changeinpercentage
2026-09-04,15:29,GROWWDEFNC,0.8384
2026-09-04,15:29,GROWWGOLD,0.8048
2026-09-04,15:29,GROWWMETAL,1.9231
2026-09-04,15:29,GROWWSLVR,1.2417
2026-09-04,15:29,GRPLTD,1.6821
2026-09-04,15:29,GRSE,0.9323
2026-09-04,15:29,GSEC10ADD,1.1325
2026-09-04,15:29,GSLSU,4.9963
2026-09-04,15:29,GTECJAINX,1.4558
2026-09-04,15:29,GTPL,1.2774
2026-09-04,15:29,GUFICBIO,1.2632
2026-09-04,15:29,GUJAPOLLO,2.2992
2026-09-04,15:29,GVKPIL,1.4634
2026-09-04,15:29,GYFTR,1.2817
2026-09-04,15:29,HAL,1.8969
2026-09-04,15:29,HALDER,3.0186
2026-09-04,15:29,HALDYNGL,2.1085
2026-09-04,15:29,HARIOMPIPE,1.055
2026-09-04,15:29,HARRMALAYA,0.795
2026-09-04,15:29,HARSHA,0.7316
2026-09-04,15:29,HATHWAY,2.5341
2026-09-04,15:29,HAVISHA,0.7143
2026-09-04,15:29,HAWKINCOOK,1.3198
2026-09-04,15:29,HBLENGINE,4.5376
2026-09-04,15:29,HBSL,0.7523
2026-09-04,15:29,HDFCBANK,0.7712
2026-09-04,15:29,HDFCGOLD,0.8284
2026-09-04,15:29,HDFCLIFE,2.418
2026-09-04,15:29,HDFCNIMEG,1.5743
2026-09-04,15:29,HDFCSILVER,1.1905
2026-09-04,15:29,HEADSUP,7.7728
2026-09-04,15:29,HEALTHX,2.8249
2026-09-04,15:29,HEG,2.9401
2026-09-04,15:29,HEIDELBERG,1.2517
2026-09-04,15:29,HERITGFOOD,2.9067
2026-09-04,15:29,HESTERBIO,9.2519
2026-09-04,15:29,HEXAGON,1.2195
2026-09-04,15:29,HFCL,4.9995
2026-09-04,15:29,HGM,2.1149
2026-09-04,15:29,HGS,1.5903
2026-09-04,15:29,HIMATSEIDE,1.6923
2026-09-04,15:29,HINDZINC,2.2196
2026-09-04,15:29,HITECH,0.825
2026-09-04,15:29,HLEGLAS,4.2493
2026-09-04,15:29,HLVLTD,1.092
2026-09-04,15:29,HOMEFIRST,0.7242
2026-09-04,15:29,HONAUT,1.1059
2026-09-04,15:29,HONDAPOWER,1.9231
2026-09-04,15:29,HPIL,1.4261
2026-09-04,15:29,HSBCGOLD,0.9658
2026-09-04,15:29,HSCL,1.3671
2026-09-04,15:29,HYUNDAI,2.4628
2026-09-04,15:29,ICDSLTD,9.9908
2026-09-04,15:29,ICIL,2.8467
2026-09-04,15:29,IDEA,3.7293
2026-09-04,15:29,IFBAGRO,1.6028
2026-09-04,15:29,IFCI,5.7033
2026-09-04,15:29,IGARASHI,1.5616
2026-09-04,15:29,IGL,5.769
2026-09-04,15:29,IGPL,3.3798
2026-09-04,15:29,IIFL,1.2045
2026-09-04,15:29,IIFLCAPS,0.9318
2026-09-04,15:29,IKIO,1.9346
2026-09-04,15:29,IKS,1.5874
2026-09-04,15:29,IL&FSENGG,5
2026-09-04,15:29,IMAGICAA,1.5215
2026-09-04,15:29,IMPAL,2.4637
2026-09-04,15:29,IMPEXFERRO,1.9438
2026-09-04,15:29,INA,1.3591
2026-09-04,15:29,INCREDIBLE,1.2761
2026-09-04,15:29,INDIACEM,1.0312
2026-09-04,15:29,INDIAGLYCO,5
2026-09-04,15:29,INDIANCARD,2.3974
2026-09-04,15:29,INDIQUBE,0.7509
2026-09-04,15:29,INDNIPPON,4.3988
2026-09-04,15:29,INDOAMIN,1.3518
2026-09-04,15:29,INDOMIM,5.3231
2026-09-04,15:29,INDORAMA,5.9387
2026-09-04,15:29,INDOSTAR,1.0864
2026-09-04,15:29,INDOTECH,1.4512
2026-09-04,15:29,INFOBEAN,2.7905
2026-09-04,15:29,INFOMEDIA,3.2819
2026-09-04,15:29,INNOVACAP,4.4429
2026-09-04,15:29,INOXGREEN,2.3917
2026-09-04,15:29,INOXINDIA,3.2901
2026-09-04,15:29,INSUREIETF,1.2633
2026-09-04,15:29,INTELLECT,1.231
2026-09-04,15:29,INTENTECH,3.4071
2026-09-04,15:29,INTLCONV,2.1903
2026-09-04,15:29,INVENTURE,1.087
2026-09-04,15:29,IOB,0.963
2026-09-04,15:29,IOLCP,1.792
2026-09-04,15:29,IONEXCHANG,7.0644
2026-09-04,15:29,IRFC,0.9074
2026-09-04,15:29,IRIS,4.7218
2026-09-04,15:29,IRISDOREME,6.002
2026-09-04,15:29,ISGEC,2.1074
2026-09-04,15:29,ITI,1.5087
2026-09-04,15:29,IVC,1.4866
2026-09-04,15:29,IWP,0.8803
2026-09-04,15:29,IXIGO,2.8369
2026-09-04,15:29,JASH,3.0917
2026-09-04,15:29,JENBURPH,0.7077
2026-09-04,15:29,JETFREIGHT,1.2913
2026-09-04,15:29,JINDALSTEL,1.7467
2026-09-04,15:29,JINDRILL,2.0234
2026-09-04,15:29,JINDWORLD,19.4392
2026-09-04,15:29,JIOFIN,0.8633
2026-09-04,15:29,JISLDVREQS,4.2796
2026-09-04,15:29,JISLJALEQS,9.6236
2026-09-04,15:29,JKCEMENT,0.8731
2026-09-04,15:29,JNKINDIA,3.1522
2026-09-04,15:29,JNPR,2.2762
2026-09-04,15:29,JOCIL,0.9222
2026-09-04,15:29,JPPOWER,0.9294
2026-09-04,15:29,JSLL,2.9614
2026-09-04,15:29,JSWSTEEL,1.2997
2026-09-04,15:29,JTLIND,2.2304
2026-09-04,15:29,JUBLPHARMA,1.8284
2026-09-04,15:29,JWL,0.8918
2026-09-04,15:29,JYOTISTRUC,2.2449
2026-09-04,15:29,KABRAEXTRU,2.5407
2026-09-04,15:29,KALAMANDIR,0.722
2026-09-04,15:29,KALYANKJIL,2.3065
2026-09-04,15:29,KAMANWALA,4.3396
2026-09-04,15:29,KAMATHOTEL,3.6065
2026-09-04,15:29,KAMDHENU,1.2123
2026-09-04,15:29,KANCHI,2.7976
2026-09-04,15:29,KAVDEFENCE,19.5726
2026-09-04,15:29,KAYA,4.9893
2026-09-04,15:29,KAYNES,3.2425
2026-09-04,15:29,KDDL,1.4448
