date,time,group,column1,std deviation,annual std dev,roc
2026-09-04,15:29,BALAMINES,8655.1436,4.2199,54.7391,69.7842
2026-09-04,15:29,BALRAMCHIN,1721.602,3.131,40.8627,25.6893
2026-09-04,15:29,BALUFORGE,1208.0982,3.1517,51.2075,-13.6497
2026-09-04,15:29,BANARISUG,1331.5126,2.1568,24.8822,4.1458
2026-09-04,15:29,BANCOINDIA,461.099,2.1451,46.197,2.4314
2026-09-04,15:29,BANSALWIRE,314.7381,2.601,38.0217,-12.9834
2026-09-04,15:29,BASF,1410.8951,2.0031,29.8891,-16.8535
2026-09-04,15:29,BBETF0432,248.2557,0.2635,3.8556,4.7101
2026-09-04,15:29,BBOX,1443.1442,2.9089,45.0279,60.2362
2026-09-04,15:29,BBTCL,225.5571,2.9072,40.3948,13.2359
2026-09-04,15:29,BELRISE,477.4097,2.194,38.6875,73.3714
2026-09-04,15:29,BEML,2557.5964,2.1453,39.4703,0.796
2026-09-04,15:29,BEPL,281.9309,2.6501,34.3318,20.7958
2026-09-04,15:29,BETA,4437.9627,4.0697,1.7e+308,1.7e+308
2026-09-04,15:29,BFINVEST,599.0878,2.519,36.629,2.0215
2026-09-04,15:29,BHAGCHEM,371.9182,2.8534,44.731,-2.1269
2026-09-04,15:29,BHAGERIA,893.3601,3.3821,50.3677,53.1443
2026-09-04,15:29,BHAGYANGR,1309.3107,3.866,62.5921,308.4344
2026-09-04,15:29,BHARATBOND-APR30,331.4212,0.122,1.7172,4.806
2026-09-04,15:29,BHARATBOND-APR31,280.0699,0.1447,1.9687,4.4364
2026-09-04,15:29,BHARATBOND-APR32,243.9761,0.1541,2.1443,3.996
2026-09-04,15:29,BHARATBOND-APR33,215.7587,0.1628,2.2627,3.6127
2026-09-04,15:29,BHARATFORG,3393.59,1.7417,30.5807,72.0771
2026-09-04,15:29,BHARATSE,445.2847,3.3331,61.3248,32.0339
2026-09-04,15:29,BHEL,1169.6476,2.2779,36.3549,103.0043
2026-09-04,15:29,BIL,1391.9795,2.3703,42.9641,6.3367
2026-09-04,15:29,BIOCON,193.4941,1.5422,25.459,9.2659
2026-09-04,15:29,BIRLACABLE,1547.5813,3.7974,53.1405,138.1871
2026-09-04,15:29,BLACKBUCK,310.7069,2.2241,40.4085,-0.4839
2026-09-04,15:29,BLISSGVS,3156.436,3.4936,59.7224,330.4041
2026-09-04,15:29,BLSE,960.959,2.4377,43.7402,80.0259
2026-09-04,15:29,BLUEJET,851.8084,2.8237,48.379,-23.3882
2026-09-04,15:29,BLUESTONE,2392.9402,3.2545,1.7e+308,39.4704
2026-09-04,15:29,BLUSPRING,489.7512,4.3768,56.2133,72.4926
2026-09-04,15:29,BODALCHEM,673.2605,3.9172,50.4212,138.9008
2026-09-04,15:29,BOROSCI,167.633,2.9072,44.1391,-7.3212
2026-09-04,15:29,BOSCH-HCIL,2934.6623,2.2774,36.2088,5.1694
2026-09-04,15:29,BOSCHLTD,71661.0679,1.5706,28.3887,14.4463
