date,time,group,% 3 qtr ago,% 2 qtr ago,% 1 qtr ago,% current qtr,change in 3 qtr
2026-09-04,15:29,CHEMBOND,0.6108,0.6108,0.6108,0.6108,0
2026-09-04,15:29,CHEMBONDCH,0.6211,0.727,0.6576,0.6487,0.0276
2026-09-04,15:29,CHEMFAB,0.0022,0.0809,0.04,0.0363,0.0341
2026-09-04,15:29,CHENNPETRO,8.7958,12.8712,12.5919,14.9877,6.1919
2026-09-04,15:29,CIEINDIA,4.2366,4.3221,4.7295,4.9543,0.7177
2026-09-04,15:29,CINELINE,2.1887,2.1887,2.1887,2.1887,0
2026-09-04,15:29,CINEVISTA,0.02,0.02,0.02,0.02,0
2026-09-04,15:29,CLEAN,11.1421,10.0027,13.3885,13.3675,2.2254
2026-09-04,15:29,CLSEL,2.811,3.0797,3.087,3.3009,0.4899
2026-09-04,15:29,COALINDIA,7.9559,8.2221,8.3775,10.37,2.4141
2026-09-04,15:29,COASTCORP,1.0088,1.0302,1.0384,1.0456,0.0368
2026-09-04,15:29,COFORGE,34.0931,34.528,30.6537,45.4971,11.404
2026-09-04,15:29,COUNCODOS,0.1076,0.1076,0.1076,0.6785,0.5709
2026-09-04,15:29,CPEDU,0.0494,0.0505,0.0725,0.0499,0.0005
2026-09-04,15:29,CPPLUS,4.4373,4.362,5.722,6.3484,1.9111
2026-09-04,15:29,CREATIVEYE,0,0,0,0,0
2026-09-04,15:29,CREDITACC,12.2867,11.6816,12.9372,13.4847,1.198
2026-09-04,15:29,CREST,1.6339,1.6339,1.71,1.71,0.0761
2026-09-04,15:29,CROWN,0,0,0,0,0
2026-09-04,15:29,CUMMINSIND,18.3454,19.4314,20.7771,21.1894,2.844
2026-09-04,15:29,CUPID,2.5838,1.4768,1.0054,4.1692,1.5854
2026-09-04,15:29,CURAA,0,0,0,0,0
2026-09-04,15:29,CYBERMEDIA,0,0,0,0,0
2026-09-04,15:29,CYBERTECH,17.5241,17.541,17.6573,18.3264,0.8023
2026-09-04,15:29,DANGEE,0,0,0,0,0
2026-09-04,15:29,DATAPATTNS,11.4011,11.5457,12.476,12.5018,1.1007
2026-09-04,15:29,DAVANGERE,0.0003,6.9931,6.9949,0.0002,-0.0001
2026-09-04,15:29,DCBBANK,10.4934,11.9292,12.6375,13.4762,2.9828
2026-09-04,15:29,DCI,1.1363,1.0916,1.1119,1.1587,0.0224
2026-09-04,15:29,DCMFINSERV,0.0262,0.0271,0.0262,0.0262,0
2026-09-04,15:29,DCXINDIA,1.4832,1.0602,0.8338,1.7218,0.2386
2026-09-04,15:29,DDEVPLSTIK,1.1297,0.8983,0.9016,1.4622,0.3325
2026-09-04,15:29,DECCANCE,9.9315,12.8576,14.2953,14.6495,4.718
2026-09-04,15:29,DEEDEV,0.7891,0.7786,0.9808,2.1705,1.3814
2026-09-04,15:29,DEEPAKNTR,6.2076,6.0538,6.1894,6.2463,0.0387
2026-09-04,15:29,DELPHIFX,0,0.5175,0.0227,0.0016,0.0016
2026-09-04,15:29,DELTAMAGNT,0,0,0,0,0
2026-09-04,15:29,DENORA,0.0063,0.0123,0.7192,0.8312,0.8249
2026-09-04,15:29,DHARMAJ,3.0892,3.4876,3.1298,3.1252,0.036
2026-09-04,15:29,DHRUV,1.3866,2.3377,2.2368,2.1741,0.7875
2026-09-04,15:29,DIACABS,1.4232,0.448,0.3575,1.7623,0.3391
2026-09-04,15:29,DICIND,0,0,0,0,0
2026-09-04,15:29,DIFFNKG,0.5685,0.1408,0.4078,0.7195,0.151
2026-09-04,15:29,DIGJAMLMTD,1.7913,1.7914,1.7914,1.7914,0.0001
2026-09-04,15:29,DIL,0,0,0,0,0
2026-09-04,15:29,DIVGIITTS,1.8138,1.7223,1.9736,1.8608,0.047
2026-09-04,15:29,DIVISLAB,19.3939,20.0797,20.2908,20.1966,0.8027
2026-09-04,15:29,DJML,0.146,0.0013,0.0476,0.1831,0.0371
2026-09-04,15:29,DLINKINDIA,1.1071,1.1318,1.2643,1.3564,0.2493
2026-09-04,15:29,DMART,8.7346,8.7082,8.9988,9.2256,0.491
2026-09-04,15:29,DNAMEDIA,4.0013,4.0013,4.0013,4.0013,0
2026-09-04,15:29,DOLPHIN,4.571,4.571,4.5766,4.5727,0.0017
2026-09-04,15:29,DONEAR,0,0.0444,0,0.0022,0.0022
2026-09-04,15:29,DPABHUSHAN,0.2231,0.2199,0.3178,0.2261,0.003
