Date,Breakouts,Breakdowns,Up close %,Down close %,New 52-wk high,New 52-wk low,Net nh-nl,15% 52wh,15% 52wl,Net 15% h-l,30% 52wh,30% 52 wl,Net 30% h-l
2026-02-03,75.0344,4.5809,39.9267,23,1.6491,1.7407,-0.0916,15.2084,40.0366,-24.8282,42.5103,61.6125,-19.1022
2026-02-02,15.2263,26.5661,30.6306,19.4492,0.3201,9.1449,-8.8249,11.4312,47.8281,-36.3969,38.2259,64.8377,-26.6118
2026-02-01,25.9615,29.3956,18.8713,41.433,0.5037,5.5861,-5.0824,10.3022,47.3901,-37.0879,38.0952,65.522,-27.4267
2026-01-30,25.5046,12.1101,44.4245,32.5758,0.7798,6.2844,-5.5046,12.0642,45.5963,-33.5321,39.7248,64.4037,-24.6789
2026-01-29,17.8522,17.8981,37.5321,30.5128,1.5603,6.2414,-4.681,11.3355,48.279,-36.9436,38.4121,65.0298,-26.6177
2026-01-28,39.6512,6.2414,55.6713,27.2059,1.0555,4.7728,-3.7173,11.3355,48.0955,-36.76,39.0546,65.2134,-26.1588
2026-01-27,18.3729,22.5777,32.5871,33.4008,0.9598,18.8757,-17.9159,9.5521,50.777,-41.2249,35.4205,66.4077,-30.9872
2026-01-23,12.8158,31.4653,21.147,49.781,0.689,11.6215,-10.9325,9.0032,51.4929,-42.4897,35.5535,66.9729,-31.4194
2026-01-22,36.5473,6.6116,33.6683,32.6389,0.6887,4.9587,-4.27,10.7438,48.393,-37.6492,37.9247,64.9679,-27.0432
2026-01-21,12.3508,30.8999,20.0743,39.9703,0.1837,24.8393,-24.6556,9.4123,50.9642,-41.5519,35.5831,66.9421,-31.359
2026-01-20,6.339,47.2209,16.6667,60.1167,0.3215,20.9922,-20.6706,10.1056,48.9205,-38.8149,37.3909,65.503,-28.1121
2026-01-19,8.9204,19.2132,26.1538,40.7143,1.0522,12.6715,-11.6194,13.7694,43.8243,-30.0549,41.9488,62.3513,-20.4026
